title,description,type,question,options,answer,difficulty
the browser console and console methods,Opening DevTools,multiple choice,What is the keyboard shortcut to open DevTools on Windows?,Ctrl + P|F12|Ctrl + S|Alt + F4,F12,beginner
the browser console and console methods,Console tab,multiple choice,After opening DevTools which tab do you click to see JavaScript output?,Elements|Console|Network|Sources,Console,beginner
the browser console and console methods,console.log purpose,multiple choice,What does console.log() do?,Displays text on the visible web page|Prints output to the DevTools Console|Saves data to a file|Sends data to a server,Prints output to the DevTools Console,beginner
the browser console and console methods,console.log multiple args,multiple choice,"What does console.log(""Balance:"", 15000) display?",Balance:|15000|Balance: 15000 on one line|An error,Balance: 15000 on one line,beginner
the browser console and console methods,console.warn colour,multiple choice,What colour does console.warn() output appear in?,White|Red|Yellow|Blue,Yellow,beginner
the browser console and console methods,console.error colour,multiple choice,What colour does console.error() output appear in?,White|Yellow|Green|Red,Red,beginner
the browser console and console methods,console.table purpose,multiple choice,What does console.table() do?,Logs a single value|Displays an array of objects as a readable table|Creates an HTML table on the page|Saves data to a spreadsheet,Displays an array of objects as a readable table,beginner
the browser console and console methods,Opening DevTools alternative,multiple choice,Besides F12 what other way can you open DevTools?,Double-click the page|Right-click the page then click Inspect|Press Ctrl + Z|Press Enter,Right-click the page then click Inspect,intermediate
the browser console and console methods,Descriptive labels,multiple choice,Why should you pass a label as the first argument to console.log()?,It is required by JavaScript|So you know what value you are looking at in the output|It makes the code run faster|It stores the value in memory,So you know what value you are looking at in the output,intermediate
the browser console and console methods,warn vs error,multiple choice,What is the difference between console.warn() and console.error()?,They are identical|warn signals a potential problem while error signals a definite failure|warn stops the code but error does not|error is yellow and warn is red,warn signals a potential problem while error signals a definite failure,intermediate
the browser console and console methods,Does not stop code,True or False,console.warn() and console.error() stop your code from running.,True|False,False,intermediate
the browser console and console methods,console.table input,multiple choice,What type of data works best with console.table()?,A single string|A single number|An array of objects|A boolean,An array of objects,intermediate
the browser console and console methods,Expression in log,multiple choice,"What does console.log(""Total:"", 15000 * 1.075) display in the Console?",Total: 15000 * 1.075|Total: 16125|15000 * 1.075|An error,Total: 16125,intermediate
the browser console and console methods,Production rule,multiple choice,What should you do with console.log() calls before deploying to production?,Leave them for users to see|Remove them because output is visible to anyone who opens DevTools|Convert them to alerts|Move them to the HTML file,Remove them because output is visible to anyone who opens DevTools,Advanced
the browser console and console methods,Mac shortcut,multiple choice,What is the keyboard shortcut to open DevTools on Mac?,Cmd + Z|Cmd + Option + I|Cmd + S|Cmd + P,Cmd + Option + I,Advanced
the browser console and console methods,Comma separation,multiple choice,When you pass multiple arguments to console.log() separated by commas how are they displayed?,On separate lines|On the same line separated by spaces|Only the first one shows|They are concatenated without spaces,On the same line separated by spaces,Advanced
reading error messages,Three parts of an error,multiple choice,How many parts does every error message have?,1|2|3|4,3,beginner
reading error messages,Error parts,multiple choice,Which of the following is NOT one of the three parts of an error message?,Error type|Error message|Location (file and line)|Error colour,Error colour,beginner
reading error messages,ReferenceError meaning,multiple choice,What does a ReferenceError mean?,You used a value that is the wrong type|You used a name that does not exist|Your code cannot be parsed|The server is down,You used a name that does not exist,beginner
reading error messages,TypeError meaning,multiple choice,What does a TypeError mean?,A variable name is misspelled|The code has a missing bracket|You did something a value cannot do for its type|The file was not found,You did something a value cannot do for its type,beginner
reading error messages,SyntaxError meaning,multiple choice,What does a SyntaxError mean?,A variable is undefined|A method was called on null|JavaScript cannot parse the code so the file never runs|A network request failed,JavaScript cannot parse the code so the file never runs,beginner
reading error messages,Golden rule,multiple choice,What is the golden rule when you see an error in the Console?,Delete the file and start over|Read the error message before you touch the code|Refresh the page immediately|Ask someone else to fix it,Read the error message before you touch the code,beginner
reading error messages,ReferenceError cause,multiple choice,Which of the following causes a ReferenceError?,Calling .toUpperCase() on a number|A missing closing bracket|A misspelled variable name|Dividing by zero,A misspelled variable name,intermediate
reading error messages,Case sensitivity,multiple choice,"You declared const userName but wrote console.log(username). What error appears?",TypeError|SyntaxError|ReferenceError: username is not defined|No error,ReferenceError: username is not defined,intermediate
reading error messages,TypeError null,multiple choice,"What error does this code produce: const user = null; console.log(user.name);?",ReferenceError|SyntaxError|TypeError: Cannot read properties of null|No error,TypeError: Cannot read properties of null,intermediate
reading error messages,TypeError not a function,multiple choice,"What error does this code produce: const price = 4500; price();?",ReferenceError|TypeError: price is not a function|SyntaxError|No error,TypeError: price is not a function,intermediate
reading error messages,SyntaxError file execution,True or False,When a SyntaxError occurs the rest of the code in the file still runs.,True|False,False,intermediate
reading error messages,SyntaxError cause,multiple choice,Which of the following causes a SyntaxError?,Using a variable before declaring it|Calling a method on null|A missing closing bracket or brace|Dividing a string by a number,A missing closing bracket or brace,intermediate
reading error messages,Wrong method on type,multiple choice,"What error does this code produce: const amount = 5000; amount.toUpperCase();?",ReferenceError|SyntaxError|TypeError: amount.toUpperCase is not a function|No error,TypeError: amount.toUpperCase is not a function,Advanced
reading error messages,Error location,multiple choice,What does the file:line part of an error message tell you?,Which browser you are using|The exact file and line number where the error occurred|How many errors there are|The name of the variable,The exact file and line number where the error occurred,Advanced
reading error messages,SyntaxError line caveat,multiple choice,Why can the line number in a SyntaxError be misleading?,Because SyntaxErrors do not show line numbers|Because the reported line is where JavaScript gave up not necessarily where the bug is|Because it always shows line 1|Because the file is too large,Because the reported line is where JavaScript gave up not necessarily where the bug is,Advanced
breakpoints and stepping through code,What is a breakpoint,multiple choice,What does a breakpoint do?,Deletes a line of code|Pauses code execution at a specific line|Adds a console.log automatically|Fixes a bug in the code,Pauses code execution at a specific line,beginner
breakpoints and stepping through code,Which tab,multiple choice,Which DevTools tab do you use to set breakpoints?,Console|Elements|Sources|Network,Sources,beginner
breakpoints and stepping through code,Setting a breakpoint,multiple choice,How do you set a breakpoint in the Sources tab?,Right-click the code and select Break|Click the line number|Type debugger in the Console|Press F5,Click the line number,beginner
breakpoints and stepping through code,Breakpoint marker,multiple choice,What appears on a line when you set a breakpoint?,A red circle|A blue marker|A yellow arrow|A green checkmark,A blue marker,beginner
breakpoints and stepping through code,Scope panel purpose,multiple choice,What does the Scope panel show while code is paused?,All HTML elements|Every variable's current value|The network requests|The CSS styles,Every variable's current value,beginner
breakpoints and stepping through code,F10 action,multiple choice,What does pressing F10 (Step Over) do when code is paused?,Resumes normal execution|Runs the current line and moves to the next|Enters a function call|Removes the breakpoint,Runs the current line and moves to the next,intermediate
breakpoints and stepping through code,F11 action,multiple choice,What does pressing F11 (Step Into) do?,Skips the current line|Runs the current line and moves to the next|Steps inside a function call on the current line|Resumes to the next breakpoint,Steps inside a function call on the current line,intermediate
breakpoints and stepping through code,F8 action,multiple choice,What does pressing F8 (Resume) do?,Steps to the next line|Enters a function call|Continues running until the next breakpoint|Closes DevTools,Continues running until the next breakpoint,intermediate
breakpoints and stepping through code,Most used control,multiple choice,Which stepping control will you use 95% of the time?,F8 Resume|F10 Step Over|F11 Step Into|F5 Refresh,F10 Step Over,intermediate
breakpoints and stepping through code,Breakpoint workflow,multiple choice,What is the correct workflow after setting a breakpoint?,Close DevTools and reopen|Refresh the page so JavaScript pauses at the breakpoint|Click Run in the Console|Edit the HTML file,Refresh the page so JavaScript pauses at the breakpoint,intermediate
breakpoints and stepping through code,Why better than console.log,multiple choice,Why are breakpoints better than console.log for complex bugs?,They are faster to type|You can inspect every variable without adding and removing log statements|They fix bugs automatically|They work without DevTools,You can inspect every variable without adding and removing log statements,intermediate
breakpoints and stepping through code,Loop debugging,multiple choice,Why would you set a breakpoint inside a loop?,To delete the loop|To watch how variables change on each iteration|To skip the loop entirely|To make the loop run faster,To watch how variables change on each iteration,Advanced
breakpoints and stepping through code,Scope panel live updates,True or False,Values in the Scope panel update as you step forward through the code.,True|False,True,Advanced
breakpoints and stepping through code,Finding the bug,multiple choice,When stepping through code with F10 how do you identify the bug?,When the Console turns red|When a variable gets a wrong value in the Scope panel|When the page refreshes|When DevTools closes,When a variable gets a wrong value in the Scope panel,Advanced
breakpoints and stepping through code,Resume in loop,multiple choice,If you set a breakpoint inside a loop and press F8 (Resume) what happens?,The loop stops|Code continues to the next breakpoint which is the same line on the next iteration|The page refreshes|The breakpoint is removed,Code continues to the next breakpoint which is the same line on the next iteration,Advanced
breakpoints and stepping through code,Step Into use case,multiple choice,When should you use Step Into (F11) instead of Step Over (F10)?,When you want to skip a line|When the current line calls a function and you want to see what happens inside it|When you want to resume normal execution|When you want to close DevTools,When the current line calls a function and you want to see what happens inside it,Advanced
