title,description,type,question,options,answer,difficulty
adding event listeners,What is an event,multiple choice,What is an event in the browser?,A CSS animation|Something that happens that JavaScript can respond to such as a click or keystroke|A type of variable|A function call,Something that happens that JavaScript can respond to such as a click or keystroke,beginner
adding event listeners,addEventListener syntax,multiple choice,What is the correct syntax to listen for a click on a button?,btn.addEventListener("click" handler)|btn.onClick(handler)|btn.listenFor("click" handler)|btn.event("click" handler),btn.addEventListener("click" handler),beginner
adding event listeners,Three things needed,multiple choice,What three things does every event interaction need?,A loop a variable and a function|An element an event type and a callback function|HTML CSS and JavaScript|A form an input and a button,An element an event type and a callback function,beginner
adding event listeners,Function reference,multiple choice,Why must you pass handleEnroll without parentheses to addEventListener?,Because parentheses are invalid in JavaScript|Because adding () would call the function immediately and pass its return value instead of the function itself|Because arrow functions cannot have parentheses|Because it makes the code shorter,Because adding () would call the function immediately and pass its return value instead of the function itself,beginner
adding event listeners,click event,multiple choice,When does the click event fire?,When the page loads|When the user clicks an element|When the user types in an input|When the page closes,When the user clicks an element,beginner
adding event listeners,input event,multiple choice,When does the input event fire on a text field?,Only when the user presses Enter|On every keystroke as the user types|When the input loses focus|When the form is submitted,On every keystroke as the user types,intermediate
adding event listeners,change event,multiple choice,When does the change event fire on an input field?,On every keystroke|When the input loses focus after its value has changed|When the page loads|When the form is reset,When the input loses focus after its value has changed,intermediate
adding event listeners,input.value,multiple choice,How do you read the current text in an input field?,input.text|input.content|input.value|input.textContent,input.value,beginner
adding event listeners,Multiple listeners,True or False,An element can only have one event listener for the same event type.,True|False,False,intermediate
adding event listeners,removeEventListener requirement,multiple choice,What is required to successfully remove an event listener with removeEventListener?,The element must be deleted|You must pass the same named function reference that was used to add it|You must use an anonymous function|You must clear the event queue,You must pass the same named function reference that was used to add it,intermediate
adding event listeners,Anonymous function removal,True or False,An anonymous arrow function passed to addEventListener can be removed with removeEventListener.,True|False,False,intermediate
adding event listeners,once option,multiple choice,What does the { once: true } option do when passed as the third argument to addEventListener?,Makes the event fire twice|Automatically removes the listener after it fires once|Prevents the event from bubbling|Delays the event by one second,Automatically removes the listener after it fires once,intermediate
adding event listeners,Prefer addEventListener,multiple choice,Why is addEventListener preferred over the onclick property?,addEventListener is faster|addEventListener supports multiple handlers for the same event while onclick only allows one|onclick does not work on buttons|addEventListener is older,addEventListener supports multiple handlers for the same event while onclick only allows one,Advanced
adding event listeners,Demo live preview,multiple choice,"In the demo the input event handler updates preview.textContent with ""Preview: "" + nameInput.value. What happens as the user types?",Nothing until they press Enter|The preview text updates live with each keystroke|The page reloads|An alert appears,The preview text updates live with each keystroke,Advanced
adding event listeners,Clear input after submit,multiple choice,"In the demo after the submit button click handler runs it sets nameInput.value = """". Why?",To prevent errors|To clear the input field for the next entry|To disable the input|To trigger a change event,To clear the input field for the next entry,Advanced
adding event listeners,submit event,multiple choice,When does the submit event fire?,When a button is clicked|When a form is submitted|When the page loads|When an input changes,When a form is submitted,intermediate
the event object and event types,Event parameter,multiple choice,What is the first parameter that every event handler receives?,The element|The event object which describes what happened|The event type string|undefined,The event object which describes what happened,beginner
the event object and event types,event.type,multiple choice,What does event.type return?,The element that was clicked|The name of the event such as click or input|The value of the input|The CSS class of the element,The name of the event such as click or input,beginner
the event object and event types,event.target,multiple choice,What does event.target refer to?,The parent element|The element that triggered the event|The document object|The callback function,The element that triggered the event,beginner
the event object and event types,Parameter name,True or False,The event object parameter must be named exactly event — using e or evt will not work.,True|False,False,intermediate
the event object and event types,Event delegation,multiple choice,What is event delegation?,Adding a listener to every child element|Adding one listener on a parent element that handles events from all its children|Removing all listeners|Passing events between pages,Adding one listener on a parent element that handles events from all its children,intermediate
the event object and event types,Delegation benefit,multiple choice,What is a benefit of event delegation?,It makes the code longer|It works for dynamically added elements and uses less memory than listeners on every child|It prevents the event from firing|It only works on forms,It works for dynamically added elements and uses less memory than listeners on every child,intermediate
the event object and event types,event.key,multiple choice,What does event.key return in a keydown handler?,The ASCII code|The name of the key pressed such as Enter or a|The event type|The input value,The name of the key pressed such as Enter or a,intermediate
the event object and event types,Detect Enter key,multiple choice,How do you check if the user pressed Enter in a keydown handler?,e.key === "enter"|e.key === "Enter"|e.keyCode === "Enter"|e.button === "Enter",e.key === "Enter",intermediate
the event object and event types,preventDefault purpose,multiple choice,What does e.preventDefault() do?,Stops the event handler from running|Stops the browser's default action for that event such as page reload on form submit|Removes the element|Deletes the event listener,Stops the browser's default action for that event such as page reload on form submit,intermediate
the event object and event types,Form submit default,multiple choice,What is the browser's default behaviour when a form is submitted?,Nothing happens|The page reloads or navigates to the form's action URL|The form is deleted|An alert appears,The page reloads or navigates to the form's action URL,intermediate
the event object and event types,preventDefault on form,multiple choice,Why do you call e.preventDefault() in a form submit handler?,To make the form submit|To prevent the page from reloading so JavaScript can handle the submission|To disable the submit button|To validate the HTML,To prevent the page from reloading so JavaScript can handle the submission,Advanced
the event object and event types,Modifier keys,multiple choice,How do you detect if the Ctrl key was held during a keydown event?,e.key === "Ctrl"|e.ctrlKey (a boolean property)|e.modifier === "ctrl"|e.isCtrl(),e.ctrlKey (a boolean property),Advanced
the event object and event types,Demo data attribute,multiple choice,In the demo event delegation handler how is the data-course attribute read from the clicked li?,e.target.data-course|e.target.getAttribute("data-course")|e.target.dataset|e.target.class,e.target.getAttribute("data-course"),Advanced
creating and removing elements,createElement purpose,multiple choice,What does document.createElement("li") do?,Selects an existing li from the page|Creates a new li element in memory but does not add it to the page|Removes an li from the page|Styles an li element,Creates a new li element in memory but does not add it to the page,beginner
creating and removing elements,Three steps,multiple choice,What are the three steps to add an element to the DOM?,Select configure delete|Create configure append|Find modify return|Listen handle update,Create configure append,beginner
creating and removing elements,appendChild,multiple choice,What does parent.appendChild(newElement) do?,Removes the element|Adds the new element as the last child of the parent|Replaces the parent|Creates a new element,Adds the new element as the last child of the parent,beginner
creating and removing elements,element.remove(),multiple choice,What does element.remove() do?,Hides the element with CSS|Permanently removes the element from the DOM|Moves the element to the end|Disables the element,Permanently removes the element from the DOM,beginner
creating and removing elements,innerHTML for bulk,multiple choice,What is the advantage of using innerHTML with map/join to create multiple elements?,It is safer than createElement|It is more concise for rendering a list of items from an array|It is the only way to create elements|It does not require JavaScript,It is more concise for rendering a list of items from an array,intermediate
creating and removing elements,innerHTML danger,True or False,You should never set innerHTML to user-supplied input because it creates an XSS vulnerability.,True|False,True,intermediate
creating and removing elements,map join pattern,multiple choice,What does courses.map(c => `<div>${c.title}</div>`).join("") produce?,An array of strings|A single HTML string containing all the divs concatenated|A NodeList|An error,A single HTML string containing all the divs concatenated,intermediate
creating and removing elements,Clear all children,multiple choice,How do you remove all children from a parent element at once?,parent.remove()|parent.innerHTML = ""|parent.deleteChildren()|parent.clear(),parent.innerHTML = "",intermediate
creating and removing elements,removeChild,multiple choice,What does parent.removeChild(child) do?,Removes the parent|The parent removes the specified child element|Removes all children|Hides the child,The parent removes the specified child element,intermediate
creating and removing elements,Closure in delete handler,multiple choice,In the demo each item's delete button uses () => li.remove(). Why does each button remove the correct item?,Because of event delegation|Because the arrow function captures the specific li variable via closure|Because all buttons share one handler|Because remove() targets the last element,Because the arrow function captures the specific li variable via closure,Advanced
creating and removing elements,Event delegation on grid,multiple choice,In the demo after rendering course cards with innerHTML how are enroll button clicks handled?,Each button gets its own addEventListener|One click listener on the parent grid uses e.target to detect which button was clicked|No click handling is added|The buttons use onclick attributes,One click listener on the parent grid uses e.target to detect which button was clicked,Advanced
creating and removing elements,Wipe listeners warning,True or False,Setting innerHTML on a parent wipes out any existing event listeners on its child elements.,True|False,True,Advanced
creating and removing elements,prepend vs appendChild,multiple choice,What is the difference between prepend and appendChild?,They are the same|prepend adds as the first child while appendChild adds as the last child|prepend removes the element|appendChild adds before a specific element,prepend adds as the first child while appendChild adds as the last child,intermediate
creating and removing elements,lastElementChild,multiple choice,What does parent.lastElementChild return?,The first child|The last child element of the parent|The parent element|null always,The last child element of the parent,intermediate
creating and removing elements,Empty input guard,multiple choice,"In the demo why does the add-button handler check if (!text) return; before creating an element?",To prevent adding an empty item to the list|To prevent a TypeError|To clear the input|To disable the button,To prevent adding an empty item to the list,intermediate
