title,description,type,question,options,answer,difficulty
json format parse and stringify,JSON definition,multiple choice,What is JSON?,A JavaScript function|A text-based format for storing and transmitting structured data|A type of database|A browser API,A text-based format for storing and transmitting structured data,beginner
json format parse and stringify,JSON is a string,True or False,JSON is a string — not a JavaScript object — even though it looks similar to an object literal.,True|False,True,beginner
json format parse and stringify,JSON keys must be double-quoted,True or False,In JSON all keys must be double-quoted strings.,True|False,True,beginner
json format parse and stringify,JSON.parse purpose,multiple choice,What does JSON.parse() do?,Converts an object to a string|Converts a JSON string into a JavaScript value (object array etc.)|Fetches data from a URL|Validates JSON syntax,Converts a JSON string into a JavaScript value (object array etc.),beginner
json format parse and stringify,JSON.stringify purpose,multiple choice,What does JSON.stringify() do?,Converts a JavaScript value into a JSON string|Parses a JSON string|Sends data to a server|Minifies code,Converts a JavaScript value into a JSON string,beginner
json format parse and stringify,typeof after stringify,multiple choice,What is typeof JSON.stringify({name: 'Amara'})?,object|array|string|json,string,intermediate
json format parse and stringify,typeof after parse,multiple choice,After JSON.parse(jsonString) where jsonString holds a valid JSON object what is the typeof the result?,string|json|object|array,object,intermediate
json format parse and stringify,Accessing property on JSON string,multiple choice,Given const jsonString = '{"name":"Amara"}' what does jsonString.name return?,Amara|undefined — it is a string not an object|null|An error,undefined — it is a string not an object,intermediate
json format parse and stringify,JSON indentation argument,multiple choice,"What does the third argument in JSON.stringify(obj, null, 2) control?",The number of properties to include|The indentation spaces for readable formatted output|The depth of nesting|The encoding type,The indentation spaces for readable formatted output,intermediate
json format parse and stringify,Functions in JSON,True or False,Functions and undefined values are silently removed when you call JSON.stringify() on an object that contains them.,True|False,True,intermediate
json format parse and stringify,Invalid JSON throws,multiple choice,What happens if you call JSON.parse() on an invalid JSON string (e.g. one with single-quoted keys)?,It returns null|It returns an empty object|It throws a SyntaxError|It silently returns undefined,It throws a SyntaxError,intermediate
json format parse and stringify,Store object without stringify,multiple choice,What happens if you do localStorage.setItem('data' myObject) without JSON.stringify?,The object is stored correctly|[object Object] is stored instead of the actual data|An error is thrown|The object is converted automatically,[object Object] is stored instead of the actual data,intermediate
json format parse and stringify,JSON allowed value types,multiple choice,Which of these is a valid JSON value type?,function|undefined|null|Symbol,null,intermediate
json format parse and stringify,Demo stringify typeof,multiple choice,In the demo after JSON.stringify(original) is called what does typeof jsonStr return?,object|json|function|string,string,Advanced
json format parse and stringify,Demo parsed.courses[0],multiple choice,In the demo the original object has courses: ['JavaScript Fundamentals' 'HTML & CSS Basics']. After stringify and parse what is parsed.courses[0]?,HTML & CSS Basics|undefined|JavaScript Fundamentals|An error,JavaScript Fundamentals,Advanced
json format parse and stringify,Parse direction,multiple choice,Which direction does JSON.parse go?,JavaScript object → JSON string|JSON string → JavaScript object|URL → response|Response → data,JSON string → JavaScript object,beginner
json format parse and stringify,Stringify use cases,multiple choice,When would you use JSON.stringify?,To access a property on an object|To send data to an API or store it in localStorage|To fetch data from a URL|To convert a number to a string,To send data to an API or store it in localStorage,intermediate
fetching data with the fetch api,fetch returns a Promise,multiple choice,What does fetch() return?,The response data directly|A Promise that resolves with a Response object|An array of data|A callback function,A Promise that resolves with a Response object,beginner
fetching data with the fetch api,fetch is async,True or False,fetch() is asynchronous — code written after the fetch call runs before the data arrives.,True|False,True,beginner
fetching data with the fetch api,response.json(),multiple choice,What does response.json() do?,Converts the response to a plain string|Returns a Promise that parses the response body as JSON|Validates the JSON format|Returns the raw JSON text directly,Returns a Promise that parses the response body as JSON,beginner
fetching data with the fetch api,Two .then() calls,multiple choice,Why does a typical fetch chain use two .then() calls?,For performance|The first .then() receives the Response object and the second receives the parsed JSON data|To add error handling|Because fetch requires exactly two,The first .then() receives the Response object and the second receives the parsed JSON data,intermediate
fetching data with the fetch api,fetch runs after sync,multiple choice,Given: fetch(url).then(...); console.log('After fetch'); — what logs first?,The fetched data|'After fetch' because fetch is async and doesn't block|They log at the same time|It depends on internet speed,'After fetch' because fetch is async and doesn't block,intermediate
