title,description,type,question,options,answer,difficulty
promise states and creating promises,Promise definition,multiple choice,What is a Promise in JavaScript?,A function that runs immediately|An object representing a value that will be available in the future|A type of loop|A callback that always runs twice,An object representing a value that will be available in the future,beginner
promise states and creating promises,Three states,multiple choice,What are the three states of a Promise?,start running done|active waiting cancelled|pending fulfilled rejected|loading success error,pending fulfilled rejected,beginner
promise states and creating promises,Pending state,multiple choice,What does the pending state of a Promise mean?,The operation failed|The operation succeeded|The operation is still in progress and the result is not yet available|The Promise was cancelled,The operation is still in progress and the result is not yet available,beginner
promise states and creating promises,Fulfilled state,multiple choice,What does it mean when a Promise is fulfilled?,It was rejected|It is still pending|The async operation succeeded and the Promise holds the result value|The Promise timed out,The async operation succeeded and the Promise holds the result value,beginner
promise states and creating promises,Rejected state,multiple choice,What does it mean when a Promise is rejected?,The operation is waiting|The operation succeeded with no value|The async operation failed and the Promise holds an error|The Promise was paused,The async operation failed and the Promise holds an error,beginner
promise states and creating promises,Immutability,True or False,Once a Promise is fulfilled or rejected it can never change to a different state.,True|False,True,intermediate
promise states and creating promises,fetch returns Promise,True or False,fetch() returns a Promise — students were already using Promises in Module 15 without knowing the name.,True|False,True,beginner
promise states and creating promises,new Promise executor,multiple choice,"What are the two arguments the executor function receives when you write new Promise(function(a, b) {})?",then and catch|data and error|resolve and reject|success and failure,resolve and reject,beginner
promise states and creating promises,resolve call,multiple choice,Inside a Promise executor when do you call resolve(value)?,When the operation fails|When you want to pause|When the async operation succeeds and you have the result|At the start of every Promise,When the async operation succeeds and you have the result,intermediate
promise states and creating promises,reject call,multiple choice,Inside a Promise executor when do you call reject(error)?,When the operation succeeds|When the async operation fails and you have an error|Every time a condition is checked|When resolve is already called,When the async operation fails and you have an error,intermediate
promise states and creating promises,Promises vs callbacks,multiple choice,What key advantage do Promises have over nested callbacks for sequential async operations?,Promises run faster|Promises allow flat chaining instead of nested indentation|Promises do not require functions|Promises run synchronously,Promises allow flat chaining instead of nested indentation,intermediate
promise states and creating promises,Demo part1 student name,multiple choice,In the demo Part 1 the simulateAPI function is called to get a student object. What is the student's name?,Chidi Nwosu|Funmi Adeyemi|Amara Obi|Gbenga Lawal,Amara Obi,Advanced
promise states and creating promises,Demo course modules,multiple choice,In the demo Part 1 the course object is returned with a modules property. How many modules does it have?,12|14|16|18,18,Advanced
promise states and creating promises,Promise console log pending,multiple choice,If you log a Promise immediately after creating it before it resolves what do you see?,The resolved value|undefined|Promise { <pending> }|null,Promise { <pending> },intermediate
promise states and creating promises,When to create a Promise,multiple choice,When do you typically need to create a Promise with new Promise()?,Every time you write async code|Only for fetch calls|When wrapping non-Promise async code like setTimeout or older callback-based APIs|Only inside async functions,When wrapping non-Promise async code like setTimeout or older callback-based APIs,Advanced
promise states and creating promises,Single error handler,multiple choice,How many .catch() calls do you typically need at the end of a Promise chain with 5 sequential steps?,Five — one per step|Two — one for network one for data|One — it catches errors from any step in the chain|None — Promises handle errors automatically,One — it catches errors from any step in the chain,intermediate
then catch and chaining,.then() returns new Promise,True or False,.then() always returns a new Promise — this is what enables chaining.,True|False,True,intermediate
then catch and chaining,Return value in then,multiple choice,If you return a plain value (like a string) from a .then() callback what does the next .then() receive?,undefined because you cannot return from .then()|The string directly|A Promise wrapping the string|null,The string directly,intermediate
then catch and chaining,Return Promise in then,multiple choice,If you return a Promise from a .then() callback what does the next .then() receive?,The Promise object itself|The resolved value of that Promise — the chain waits for it|undefined|An error,The resolved value of that Promise — the chain waits for it,intermediate
then catch and chaining,Forgetting return,multiple choice,What happens if you forget the return keyword inside a .then() callback?,JavaScript adds it automatically|The chain stops executing|The next .then() receives undefined instead of the expected value|An error is thrown,The next .then() receives undefined instead of the expected value,intermediate
then catch and chaining,Catch position,multiple choice,Where should .catch() be placed in a Promise chain?,At the beginning|After each .then()|At the end — it catches errors from any step above it|Nowhere — errors are automatic,At the end — it catches errors from any step above it,intermediate
then catch and chaining,Throw inside then,multiple choice,If you throw an error inside a .then() callback what happens?,The program crashes|The error is ignored|The remaining .then() calls are skipped and .catch() receives the error|The chain restarts,The remaining .then() calls are skipped and .catch() receives the error,intermediate
then catch and chaining,Nesting then inside then,multiple choice,Why should you avoid nesting .then() inside another .then()?,It causes an error|It is slower|It recreates the callback hell problem that Promises were designed to solve|JavaScript does not allow it,It recreates the callback hell problem that Promises were designed to solve,intermediate
then catch and chaining,.catch() equivalent,multiple choice,.catch(handler) is shorthand for what?,.then(handler)|.then(undefined handler)|.then(null handler)|.error(handler),.then(null handler),Advanced
then catch and chaining,Chain continues after catch,True or False,After a .catch() handler runs the Promise chain can continue with additional .then() calls.,True|False,True,Advanced
