title,description,type,question,options,answer,difficulty
if else if and else,What is a conditional,multiple choice,What does a conditional do in JavaScript?,Loops through an array|Runs different code depending on whether a condition is true or false|Declares a variable|Creates a function,Runs different code depending on whether a condition is true or false,beginner
if else if and else,if block runs,multiple choice,When does the code inside an if block run?,Always|When the condition is false|When the condition is true|When the else block runs,When the condition is true,beginner
if else if and else,else block runs,multiple choice,When does the else block run?,When the if condition is true|When the if condition is false|Always after the if block|Never,When the if condition is false,beginner
if else if and else,Only one branch,True or False,Both the if block and the else block can run in the same execution.,True|False,False,beginner
if else if and else,Condition type,multiple choice,What value type does the condition inside an if statement produce?,A string|A number|A boolean (true or false)|An array,A boolean (true or false),beginner
if else if and else,else if purpose,multiple choice,What does else if allow you to do?,Run the same block twice|Check multiple conditions in order|Create a loop|Declare a new variable,Check multiple conditions in order,beginner
if else if and else,Checking order,multiple choice,In an if/else if chain how are conditions evaluated?,All at once|From bottom to top|From top to bottom stopping at the first true condition|Randomly,From top to bottom stopping at the first true condition,intermediate
if else if and else,First match wins,multiple choice,"If score is 74 and the chain checks >= 80 then >= 70 then >= 60 which block runs?",>= 80 block|>= 70 block|>= 60 block|else block,>= 70 block,intermediate
if else if and else,Wrong order bug,multiple choice,"If you put score >= 50 as the first condition before >= 70 and >= 80 what happens when score is 74?",It correctly gets Grade B|It incorrectly matches >= 50 first and the higher grades are never reached|It throws an error|All blocks run,It incorrectly matches >= 50 first and the higher grades are never reached,intermediate
if else if and else,Order rule,multiple choice,What is the correct order for conditions in an if/else if chain?,Most general condition first|Most specific (most restrictive) condition first|Alphabetical order|Random order,Most specific (most restrictive) condition first,intermediate
if else if and else,else as catch-all,multiple choice,What role does the final else play in an if/else if/else chain?,It runs every time|It runs only if no previous condition matched|It checks another condition|It stops the program,It runs only if no previous condition matched,intermediate
if else if and else,&& operator in condition,multiple choice,"What does the condition score >= 50 && attended evaluate to when score is 74 and attended is true?",false|true|undefined|null,true,intermediate
if else if and else,|| operator in condition,multiple choice,"When does a condition using || (OR) evaluate to true?",Only when both conditions are true|When at least one condition is true|Only when both conditions are false|Never,When at least one condition is true,intermediate
if else if and else,! operator,multiple choice,What does !attended evaluate to when attended is true?,true|false|undefined|null,false,intermediate
if else if and else,Combined condition demo,multiple choice,"In the demo code: if (score < 50 || !attended) — when does this block run?",When score is above 50 and student attended|When score is below 50 OR the student did not attend|Only when both are false|Never,When score is below 50 OR the student did not attend,Advanced
if else if and else,Certificate eligibility,multiple choice,"In the demo if (score >= 50 && attended) prints Certificate eligible. When score is 74 and attended is true what prints?",Certificate eligible: no|Certificate eligible: yes|Nothing|Error,Certificate eligible: yes,Advanced
if else if and else,Grade A condition,multiple choice,What minimum score earns a Grade A Distinction in the demo?,50|60|70|80,80,Advanced
switch statements,switch purpose,multiple choice,What does a switch statement do?,Loops through values|Checks one value against multiple fixed cases|Combines two conditions|Declares variables,Checks one value against multiple fixed cases,beginner
switch statements,case keyword,multiple choice,What does the case keyword do inside a switch?,Creates a new variable|Defines a condition to match against the switch value|Starts a loop|Calls a function,Defines a condition to match against the switch value,beginner
switch statements,break purpose,multiple choice,What does break do inside a switch statement?,Ends the program|Exits the switch block so no more cases run|Skips to the next case|Returns a value,Exits the switch block so no more cases run,beginner
switch statements,default keyword,multiple choice,When does the default block run in a switch statement?,Always|Only when the switch value is undefined|When no case matches the value|Before any case is checked,When no case matches the value,beginner
switch statements,Strict equality,True or False,switch uses strict equality (===) to compare the value to each case.,True|False,True,intermediate
switch statements,Fall-through bug,multiple choice,What happens if you forget to write break after a case?,The switch exits automatically|Execution falls through into the next case and runs its code too|An error is thrown|The default block runs,Execution falls through into the next case and runs its code too,intermediate
switch statements,Fall-through demo output,multiple choice,"In the demo if day is Monday and the Monday case has no break what extra output appears?",Nothing extra|The Tuesday message also runs|The default message runs|An error,The Tuesday message also runs,intermediate
switch statements,Intentional fall-through,multiple choice,How do you group Saturday and Sunday to share the same code in a switch?,Use an if statement instead|Stack both cases with no code before the shared block then add one break|Write two separate switch statements|Use || inside a case,Stack both cases with no code before the shared block then add one break,intermediate
switch statements,When to use switch,multiple choice,When is switch preferred over if/else if?,For range checks like score >= 70|When checking one variable against fixed string or number values|When combining && and || conditions|For checking truthy/falsy values,When checking one variable against fixed string or number values,intermediate
switch statements,Payment status demo,multiple choice,"In the demo switch(status) when status is ""pending"" what message is logged?",Payment confirmed|Payment pending — awaiting bank confirmation|Payment failed|Unknown status,Payment pending — awaiting bank confirmation,Advanced
switch statements,Numbers in switch,multiple choice,"What does the switch log when errorCode is 404: case 200 OK / case 404 Not found / case 500 Server error?",OK|Not found|Server error|Unknown,Not found,Advanced
ternary operator and truthy falsy,Ternary syntax,multiple choice,What is the correct syntax for a ternary operator?,condition : trueValue ? falseValue|condition ? trueValue : falseValue|if condition then trueValue else falseValue|condition && trueValue || falseValue,condition ? trueValue : falseValue,beginner
ternary operator and truthy falsy,Ternary parts,multiple choice,How many parts does the ternary operator have?,2|3|4|1,3,beginner
ternary operator and truthy falsy,Ternary returns value,True or False,The ternary operator returns a value that can be assigned to a variable.,True|False,True,beginner
ternary operator and truthy falsy,Ternary example,multiple choice,"What does const label = score >= 50 ? ""Pass"" : ""Fail"" assign when score is 74?",Fail|Pass|undefined|74,Pass,beginner
ternary operator and truthy falsy,When not to use ternary,multiple choice,When should you avoid using the ternary operator?,For simple two-way decisions|When you need nested conditions or multiple lines of logic|When assigning to a const|When comparing numbers,When you need nested conditions or multiple lines of logic,intermediate
ternary operator and truthy falsy,Falsy value count,multiple choice,How many falsy values does JavaScript have?,4|5|6|8,6,intermediate
ternary operator and truthy falsy,Zero is falsy,True or False,The number 0 is a falsy value in JavaScript.,True|False,True,intermediate
ternary operator and truthy falsy,Empty string falsy,multiple choice,"What happens when you write if ("""") { console.log(""runs""); }?",It runs|It does not run because an empty string is falsy|It throws an error|It logs undefined,It does not run because an empty string is falsy,intermediate
ternary operator and truthy falsy,Empty array truthy,multiple choice,Is an empty array [] truthy or falsy?,Falsy|Truthy|Undefined|Null,Truthy,intermediate
ternary operator and truthy falsy,Empty object truthy,True or False,An empty object {} is falsy in JavaScript.,True|False,False,intermediate
ternary operator and truthy falsy,Six falsy values,multiple choice,Which of the following is NOT one of the six falsy values?,0|""|[]|null,[],Advanced
ternary operator and truthy falsy,Default value pattern,multiple choice,"What does const displayName = username || ""Guest"" do when username is an empty string?","Assigns """""|Assigns ""Guest"" because empty string is falsy|Throws an error|Assigns undefined","Assigns ""Guest"" because empty string is falsy",Advanced
ternary operator and truthy falsy,null is falsy,multiple choice,What happens when you write if (null) { ... }?,The if block runs|The if block does not run because null is falsy|A TypeError is thrown|The else block throws an error,The if block does not run because null is falsy,Advanced
ternary operator and truthy falsy,Ternary in demo,multiple choice,"In the demo what does const notification = balance < minBalance ? ""Please top up"" : ""All good"" assign when balance is 4200 and minBalance is 5000?",All good|Please top up your account|undefined|Error,Please top up your account,Advanced
ternary operator and truthy falsy,Truthy check pattern,multiple choice,"What does the pattern if (value) { ... } check for?",If value is strictly true|If value is truthy (not one of the 6 falsy values)|If value is a boolean|If value equals 1,If value is truthy (not one of the 6 falsy values),Advanced
ternary operator and truthy falsy,NaN is falsy,True or False,NaN (Not a Number) is one of the six falsy values in JavaScript.,True|False,True,Advanced
ternary operator and truthy falsy,Balance zero falsy,multiple choice,"In the demo if balance is 0 and you write if (balance) { console.log(balance); } what happens?",It logs 0|Nothing — 0 is falsy so the if block does not run|It throws an error|It logs undefined,Nothing — 0 is falsy so the if block does not run,Advanced
