title,description,type,question,options,answer,difficulty
creating objects with properties and methods,What is an object,multiple choice,What is an object in JavaScript?,An ordered list of values|A collection of key-value pairs that groups related data|A type of loop|A function,A collection of key-value pairs that groups related data,beginner
creating objects with properties and methods,Object creation syntax,multiple choice,What syntax is used to create an object literal?,[ ]|( )|{ }|< >,{ },beginner
creating objects with properties and methods,Key-value pair,multiple choice,What are the two parts of each item inside an object?,Index and value|Key and value|Name and type|Parameter and argument,Key and value,beginner
creating objects with properties and methods,Dot notation access,multiple choice,How do you access the name property of a student object?,student[name]|student(name)|student.name|student->name,student.name,beginner
creating objects with properties and methods,What is a method,multiple choice,What is a method in an object?,A property that holds a number|A function stored as an object property|A type of array|A CSS style,A function stored as an object property,beginner
creating objects with properties and methods,this keyword,multiple choice,What does the keyword this refer to inside an object method?,The global window|The object the method belongs to|The function itself|The previous variable,The object the method belongs to,intermediate
creating objects with properties and methods,Method shorthand,multiple choice,What is the modern shorthand for writing a method inside an object?,methodName: function() { }|methodName() { }|function methodName() { }|=> methodName() { },methodName() { },intermediate
creating objects with properties and methods,Nested object access,multiple choice,How do you access order.customer.city when customer is a nested object?,order[customer][city]|order.customer.city|order->customer->city|customer.city,order.customer.city,intermediate
creating objects with properties and methods,Array inside object,multiple choice,How do you access the name of the first item in order.items (an array of objects)?,order.items.name|order.items[0].name|order.items.0.name|order[items][0][name],order.items[0].name,intermediate
creating objects with properties and methods,Adding a property,multiple choice,How do you add a new property email to an existing profile object?,profile.add(email)|profile.email = value|profile[add] = email|push(profile email),profile.email = value,intermediate
creating objects with properties and methods,Deleting a property,multiple choice,How do you permanently remove a property from an object?,object.remove(key)|remove object.key|delete object.key|object.key = null,delete object.key,intermediate
creating objects with properties and methods,Value types,True or False,Object values can be any type including strings numbers booleans arrays and other objects.,True|False,True,intermediate
creating objects with properties and methods,Demo getGrade,multiple choice,In the demo student.getGrade() uses this.score which is 88. What does it return?,Fail|Borderline|Pass|undefined,Pass,Advanced
creating objects with properties and methods,Demo introduce,multiple choice,"In the demo what does student.introduce() return when name is ""Amara Obi"" and getGrade() returns ""Pass""?","Hi, I'm Amara Obi and my grade is Pass|Amara Obi Pass|undefined|Error","Hi, I'm Amara Obi and my grade is Pass",Advanced
dot notation and bracket notation,When dot notation,multiple choice,When should you use dot notation to access a property?,When the key is stored in a variable|When the key is a known valid identifier|When the key contains a hyphen|When iterating object keys,When the key is a known valid identifier,beginner
dot notation and bracket notation,When bracket notation,multiple choice,When is bracket notation required?,Always|When the key contains special characters like hyphens or is stored in a variable|Only for arrays|When the object is nested,When the key contains special characters like hyphens or is stored in a variable,beginner
dot notation and bracket notation,Special character key,multiple choice,"How do you access the property ""sku-id"" on a product object?","product.sku-id|product[sku-id]|product[""sku-id""]|product.sku_id","product[""sku-id""]",intermediate
dot notation and bracket notation,Variable as key,multiple choice,"If const field = ""score"" what does student[field] access?",A property named field|The score property (value of the field variable)|undefined|An error,The score property (value of the field variable),intermediate
dot notation and bracket notation,Dot with variable,multiple choice,"If const field = ""score"" what does student.field return?",The score value|undefined because it looks for a literal property named field|An error|The field variable,undefined because it looks for a literal property named field,intermediate
dot notation and bracket notation,in operator,multiple choice,"What does ""email"" in user return when user has no email property?",true|false|undefined|null,false,intermediate
dot notation and bracket notation,in operator true,multiple choice,"What does ""name"" in user return when user has a name property?",The name value|true|false|The key string,true,intermediate
dot notation and bracket notation,Destructuring basic,multiple choice,"What does const { name, score } = student do?",Creates a new object|Extracts name and score from student into separate variables|Deletes name and score from student|Adds name and score to student,Extracts name and score from student into separate variables,intermediate
dot notation and bracket notation,Destructuring rename,multiple choice,What does const { name: studentName } = user do?,Creates a property called studentName on user|Extracts user.name and assigns it to a variable called studentName|Renames the property inside the object|Throws an error,Extracts user.name and assigns it to a variable called studentName,Advanced
dot notation and bracket notation,Destructuring default,multiple choice,"What does const { email = ""no email"" } = user give when user has no email property?",undefined|null|no email|An error,no email,Advanced
dot notation and bracket notation,Demo displayFields,multiple choice,"In the demo displayFields(order, [""id"", ""customer""]) uses obj[key] in a loop. Why can't it use obj.key?",obj.key is slower|key is a variable so dot notation would look for a literal property named key|There is no difference|obj.key throws an error,key is a variable so dot notation would look for a literal property named key,Advanced
iterating objects for in and object keys,for...in on object,multiple choice,What does for...in give you when used on an object?,The values|The keys (property names) as strings|The indices|The full object,The keys (property names) as strings,beginner
iterating objects for in and object keys,Object.keys return,multiple choice,What does Object.keys(obj) return?,A string|An array of the object's keys|The object itself|A number,An array of the object's keys,beginner
iterating objects for in and object keys,Object.values return,multiple choice,What does Object.values(obj) return?,An array of the object's keys|An array of the object's values|A string of values|The object,An array of the object's values,beginner
iterating objects for in and object keys,Object.entries return,multiple choice,What does Object.entries(obj) return?,An array of keys|An array of values|An array of [key value] pairs|A single string,An array of [key value] pairs,intermediate
iterating objects for in and object keys,entries destructuring,multiple choice,"What does the pattern Object.entries(obj).forEach(([key, value]) => ...) do?",Iterates with both key and value available in each callback by destructuring each entry pair|Only provides the key|Creates a new object|Deletes entries,Iterates with both key and value available in each callback by destructuring each entry pair,intermediate
iterating objects for in and object keys,Object as lookup table,multiple choice,How does an object work as a lookup table?,By using a for loop|By storing key-value pairs where you access the value directly by its key|By sorting values|By filtering keys,By storing key-value pairs where you access the value directly by its key,intermediate
iterating objects for in and object keys,Lookup with fallback,multiple choice,"What does statusMessages[status] || ""Unknown status"" do when status is not a key in the object?",Throws an error|Returns undefined|Returns the string Unknown status|Returns null,Returns the string Unknown status,intermediate
iterating objects for in and object keys,Frequency counter pattern,multiple choice,What does counts[status] = (counts[status] || 0) + 1 do?,Resets the count to 0|Increments the count for that status by 1 initialising to 0 if it does not exist yet|Deletes the status key|Creates a new array,Increments the count for that status by 1 initialising to 0 if it does not exist yet,Advanced
iterating objects for in and object keys,Demo frequency result,multiple choice,In the demo after counting [delivered pending cancelled delivered pending delivered] what is counts.delivered?,1|2|3|4,3,Advanced
iterating objects for in and object keys,Object.keys with array methods,True or False,Because Object.keys() returns an array you can use map and filter on the result.,True|False,True,Advanced
creating objects with properties and methods,Object vs array,multiple choice,What is the main difference between an object and an array?,Objects are faster|Objects use named keys while arrays use numbered indices|Arrays can hold more data|There is no difference,Objects use named keys while arrays use numbered indices,beginner
creating objects with properties and methods,const object mutable,True or False,An object declared with const can still have its properties changed.,True|False,True,beginner
creating objects with properties and methods,Property separator,multiple choice,What character separates properties inside an object literal?,"Semicolon (;)|Comma (,)|Pipe (|)|Colon (:)","Comma (,)",beginner
dot notation and bracket notation,Bracket with string literal,multiple choice,What is the correct way to access a property called full-name using bracket notation?,"object[full-name]|object[""full-name""]|object.full-name|object.(full-name)","object[""full-name""]",beginner
dot notation and bracket notation,Computed property key,multiple choice,What does { [key]: value } do when creating an object?,Creates a property literally named key|Uses the value of the variable key as the property name|Throws an error|Creates an array,Uses the value of the variable key as the property name,Advanced
iterating objects for in and object keys,Object.keys length,multiple choice,How do you find the number of properties in an object?,object.length|object.size|Object.keys(object).length|object.count(),Object.keys(object).length,intermediate
iterating objects for in and object keys,for...in value access,multiple choice,Inside a for...in loop how do you access the value for each key?,value|object.key|object[key]|key.value,object[key],intermediate
creating objects with properties and methods,Method calling,multiple choice,How do you call a method named getSummary on an order object?,order.getSummary|order.getSummary()|getSummary(order)|call order.getSummary,order.getSummary(),beginner
dot notation and bracket notation,Checking property existence,multiple choice,Which of the following checks if a property exists on an object?,object.has(key)|key in object|object.exists(key)|object.includes(key),key in object,intermediate
creating objects with properties and methods,Object spread merge,multiple choice,"What does const merged = { ...obj1, ...obj2 } do?",Deletes both objects|Creates a new object combining properties from both objects|Throws an error|Creates an array,Creates a new object combining properties from both objects,Advanced
iterating objects for in and object keys,Object.values iteration,multiple choice,How can you iterate over only the values of an object?,for...in|Object.values(obj).forEach(...)|object.forEach(...)|for...of obj,Object.values(obj).forEach(...),intermediate
dot notation and bracket notation,Optional chaining,multiple choice,What does order?.customer?.name do if customer is undefined?,Throws a TypeError|Returns undefined without throwing an error|Returns null|Returns an empty string,Returns undefined without throwing an error,Advanced
creating objects with properties and methods,Calling method that uses this,True or False,When you call student.getGrade() the this keyword inside getGrade refers to the student object.,True|False,True,intermediate
iterating objects for in and object keys,Object.entries forEach,multiple choice,"What does Object.entries(product) return for {name: ""Phone"", price: 85000}?","[""name"", ""price""]|[[""name"", ""Phone""], [""price"", 85000]]|{name: ""Phone"", price: 85000}|[""Phone"", 85000]","[[""name"", ""Phone""], [""price"", 85000]]",Advanced
creating objects with properties and methods,Shorthand property,multiple choice,"If you have const name = ""Ada"" what does { name } create?","An error|An object { name: ""Ada"" }|A string|An array","An object { name: ""Ada"" }",Advanced
