title,description,type,question,options,answer,difficulty
understanding the dom tree,What is the DOM,multiple choice,What is the DOM?,A programming language|JavaScript's live representation of the HTML page as a tree of objects|A CSS framework|A browser plugin,JavaScript's live representation of the HTML page as a tree of objects,beginner
understanding the dom tree,DOM purpose,multiple choice,What can JavaScript do with the DOM?,Only read elements|Read modify add and remove elements on the page|Only add new elements|Only change CSS,Read modify add and remove elements on the page,beginner
understanding the dom tree,Tree structure,multiple choice,What kind of data structure is the DOM?,An array|A tree with parent child and sibling relationships|A flat list|A stack,A tree with parent child and sibling relationships,beginner
understanding the dom tree,Document root,multiple choice,What is the entry point (root) to the entire DOM tree?,window|document|body|html,document,beginner
understanding the dom tree,Parent relationship,multiple choice,In the DOM tree what is the parent of an h1 inside the body element?,html|head|body|document,body,beginner
understanding the dom tree,textContent property,multiple choice,What does element.textContent return?,The element's HTML tag|The visible text inside the element|The element's CSS styles|The element's id,The visible text inside the element,intermediate
understanding the dom tree,tagName property,multiple choice,What does heading.tagName return for an h1 element?,h1|H1|heading|title,H1,intermediate
understanding the dom tree,className property,multiple choice,What does element.className return?,The element's id|The element's class attribute value|The tag name|The parent element,The element's class attribute value,intermediate
understanding the dom tree,Script placement reason,multiple choice,Why should the script tag be placed at the bottom of the body?,Because it loads faster|So that all HTML elements exist before JavaScript tries to access them|Because the head cannot contain scripts|For styling purposes,So that all HTML elements exist before JavaScript tries to access them,intermediate
understanding the dom tree,Script in head problem,multiple choice,What happens if a script in the head tries to access an element that is defined in the body?,It works fine|The element is null because it has not been parsed yet|An error stops the HTML from loading|The element is undefined,The element is null because it has not been parsed yet,intermediate
understanding the dom tree,Node types,multiple choice,Which of the following is NOT a type of DOM node?,Element node|Text node|Attribute node|Function node,Function node,intermediate
understanding the dom tree,document.body,multiple choice,What does document.body give you?,The entire HTML document|The body element|The head element|The document title,The body element,Advanced
understanding the dom tree,document.title,multiple choice,What does document.title return?,The body text|The content of the title tag in the head|The h1 text|The URL,The content of the title tag in the head,Advanced
understanding the dom tree,Siblings,multiple choice,What are sibling elements in the DOM?,Elements at the same depth with the same parent|Elements inside each other|The root and its children|Elements in different files,Elements at the same depth with the same parent,Advanced
selecting elements,getElementById return,multiple choice,What does getElementById return?,An array of elements|One element or null|A NodeList|A string,One element or null,beginner
selecting elements,querySelector return,multiple choice,What does querySelector return?,All matching elements|The first matching element or null|An array|A boolean,The first matching element or null,beginner
selecting elements,querySelectorAll return,multiple choice,What does querySelectorAll return?,One element|A NodeList of all matching elements|An array|null,A NodeList of all matching elements,beginner
selecting elements,getElementById syntax,multiple choice,How do you select an element with id page-title?,"document.getElementById(""page-title"")|document.querySelector(page-title)|document.getElement(""page-title"")|document.select(""#page-title"")","document.getElementById(""page-title"")",beginner
selecting elements,querySelector selector types,True or False,querySelector accepts any valid CSS selector including tags classes ids and nested selectors.,True|False,True,intermediate
selecting elements,Class selector in querySelector,multiple choice,How do you select the first element with class intro using querySelector?,"document.querySelector(""intro"")|document.querySelector("".intro"")|document.querySelector(""#intro"")|document.querySelector(""class:intro"")","document.querySelector("".intro"")",intermediate
selecting elements,NodeList not an array,multiple choice,What array method does a NodeList NOT have natively?,forEach|length|map|index access,map,intermediate
selecting elements,NodeList forEach,True or False,You can use forEach directly on a NodeList returned by querySelectorAll.,True|False,True,intermediate
selecting elements,Array.from purpose,multiple choice,Why would you use Array.from() on a NodeList?,To delete it|To convert it to a real array so you can use map and filter|To make it longer|To sort it automatically,To convert it to a real array so you can use map and filter,intermediate
selecting elements,null from failed selection,multiple choice,What does getElementById return when no element with that id exists?,undefined|An empty string|null|An error,null,intermediate
selecting elements,Nested selector,multiple choice,"What does document.querySelector("".course-card h2"") select?",All h2 elements|The first h2 that is inside an element with class course-card|All course-card elements|The body element,The first h2 that is inside an element with class course-card,Advanced
selecting elements,Demo safe access,multiple choice,In the demo why does the code check if (missing !== null) before accessing missing.textContent?,Because null is falsy|Because accessing a property on null throws a TypeError|Because it makes the code slower|It is not necessary,Because accessing a property on null throws a TypeError,Advanced
modifying content attributes and styles,textContent vs innerHTML,multiple choice,What is the key difference between textContent and innerHTML?,They are identical|textContent sets plain text while innerHTML parses HTML tags|innerHTML is safer|textContent can include HTML,textContent sets plain text while innerHTML parses HTML tags,beginner
modifying content attributes and styles,textContent safety,multiple choice,Which property should you prefer for setting plain text content?,innerHTML|textContent|innerText|outerHTML,textContent,beginner
modifying content attributes and styles,getAttribute,multiple choice,"What does element.getAttribute(""src"") do?",Sets the src attribute|Returns the current value of the src attribute|Removes the src attribute|Creates a new element,Returns the current value of the src attribute,beginner
modifying content attributes and styles,setAttribute,multiple choice,How do you change the href attribute of a link to /courses/js?,"link.href(""/courses/js"")|link.setAttribute(""href"" ""/courses/js"")|link.href = ""/courses/js""|Both setAttribute and direct property assignment work",Both setAttribute and direct property assignment work,intermediate
modifying content attributes and styles,classList.add,multiple choice,"What does element.classList.add(""active"") do?",Replaces all classes with active|Adds the class active without removing existing classes|Removes the class active|Toggles the class active,Adds the class active without removing existing classes,intermediate
modifying content attributes and styles,classList.toggle,multiple choice,"What does classList.toggle(""hidden"") do?",Always adds hidden|Adds hidden if absent or removes it if present|Always removes hidden|Checks if hidden exists,Adds hidden if absent or removes it if present,intermediate
modifying content attributes and styles,classList vs className,multiple choice,Why is classList preferred over className for managing classes?,className is faster|classList adds or removes individual classes without replacing all existing ones|className does not work|classList is newer,classList adds or removes individual classes without replacing all existing ones,intermediate
modifying content attributes and styles,classList.contains,multiple choice,"What does element.classList.contains(""active"") return?",The class string|A boolean indicating whether the element has that class|The element|undefined,A boolean indicating whether the element has that class,intermediate
modifying content attributes and styles,Style camelCase,multiple choice,How do you write the CSS property background-color in JavaScript?,"element.style.background-color|element.style.backgroundColor|element.style[""background-color""]|element.style.bgColor",element.style.backgroundColor,intermediate
modifying content attributes and styles,Remove inline style,multiple choice,How do you remove an inline style that was set with element.style.color?,"delete element.style.color|element.style.color = """"|element.style.removeColor()|element.classList.remove(""color"")","element.style.color = """"",intermediate
modifying content attributes and styles,innerHTML XSS warning,True or False,You should never set innerHTML to user-supplied input because it creates an XSS vulnerability.,True|False,True,Advanced
modifying content attributes and styles,Style best practice,multiple choice,When should you use element.style over classList for styling?,For state-based changes like active or hidden|For dynamic one-off changes like a calculated width|For all styling needs|Never,For dynamic one-off changes like a calculated width,Advanced
modifying content attributes and styles,Demo disabled button,multiple choice,In the demo how is the enroll button disabled?,"btn.setAttribute(""disabled"" ""true"")|btn.disabled = true|btn.classList.add(""disabled"")|btn.style.disabled = true",btn.disabled = true,Advanced
modifying content attributes and styles,font-size in JS,multiple choice,What is the JavaScript equivalent of the CSS property font-size?,element.style.font-size|element.style.fontSize|element.style.fontsize|element.style.FontSize,element.style.fontSize,Advanced
understanding the dom tree,Live representation,True or False,Changes made to the DOM via JavaScript are immediately reflected on the visible page.,True|False,True,beginner
understanding the dom tree,Children property,multiple choice,What does element.children return?,A string of child tag names|A live HTMLCollection of the direct child elements|Only the first child|The parent element,A live HTMLCollection of the direct child elements,intermediate
selecting elements,getElementById no hash,multiple choice,When using getElementById should you include the # symbol in the id string?,Yes always|No — getElementById does not use CSS selector syntax|Only for classes|Only for nested selectors,No — getElementById does not use CSS selector syntax,beginner
selecting elements,querySelectorAll vs getElementsByClassName,multiple choice,What is one advantage of querySelectorAll over getElementsByClassName?,It is faster|It accepts any CSS selector not just class names|It returns a live collection|It modifies elements automatically,It accepts any CSS selector not just class names,intermediate
modifying content attributes and styles,classList.remove,multiple choice,"What does element.classList.remove(""hidden"") do if the element does not have the class hidden?",Throws an error|Nothing — it silently does nothing|Adds the class instead|Returns false,Nothing — it silently does nothing,intermediate
