title,description,type,question,options,answer,difficulty
defining and calling functions,What is a function,multiple choice,What is a function in JavaScript?,A data type|A named reusable block of code|A type of variable|A loop structure,A named reusable block of code,beginner
defining and calling functions,Function keyword,multiple choice,Which keyword is used to define a function declaration?,const|let|function|define,function,beginner
defining and calling functions,Calling a function,multiple choice,How do you call (execute) a function named showWelcome?,showWelcome|showWelcome()|call showWelcome|run showWelcome,showWelcome(),beginner
defining and calling functions,Parentheses required,True or False,You must include () after the function name to call it — without them the function does not run.,True|False,True,beginner
defining and calling functions,Reusability,multiple choice,What happens when you call the same function twice?,It only runs the first time|It runs its code block each time it is called|It throws an error the second time|It returns undefined the second time,It runs its code block each time it is called,beginner
defining and calling functions,Hoisting,multiple choice,What is hoisting in the context of function declarations?,Moving a function call to the bottom|Function declarations are available for use anywhere in the file even before their definition|Functions must be defined first|A type of error,Function declarations are available for use anywhere in the file even before their definition,intermediate
defining and calling functions,Expression not hoisted,True or False,Function expressions (assigned to a variable with const) can be called before they are defined.,True|False,False,intermediate
defining and calling functions,Naming convention,multiple choice,What naming convention should you use for functions?,PascalCase|snake_case|camelCase starting with a verb|UPPER_CASE,camelCase starting with a verb,intermediate
defining and calling functions,Good function name,multiple choice,Which is the best function name?,data()|thing()|x()|calculateTotal(),calculateTotal(),intermediate
defining and calling functions,DRY principle,multiple choice,What does DRY stand for in programming?,Define Run Yield|Don't Repeat Yourself|Data Response Yield|Debug Read Yield,Don't Repeat Yourself,intermediate
defining and calling functions,When to create a function,multiple choice,What is a sign that you should create a function?,You have one line of code|You are copy-pasting the same block of code in multiple places|You need a variable|You are writing HTML,You are copy-pasting the same block of code in multiple places,intermediate
defining and calling functions,Reference vs call,multiple choice,What does console.log(showWelcome) without () do?,Runs the function|Logs the function definition itself without running it|Throws an error|Logs undefined,Logs the function definition itself without running it,Advanced
defining and calling functions,Demo printReport,multiple choice,"In the demo printReport(""Morning Sales"", [4500, 1200, 800]) logs Total: ₦ what amount?",4500|6500|5700|1200,6500,Advanced
parameters arguments and return values,Parameter definition,multiple choice,What is a parameter?,The value passed when calling a function|A placeholder variable declared in the function definition|A return value|A global variable,A placeholder variable declared in the function definition,beginner
parameters arguments and return values,Argument definition,multiple choice,What is an argument?,A variable inside the function|The actual value passed when calling a function|The function name|The return keyword,The actual value passed when calling a function,beginner
parameters arguments and return values,Argument order,multiple choice,How are arguments matched to parameters?,By name|By position — first argument goes to the first parameter|Randomly|By data type,By position — first argument goes to the first parameter,beginner
parameters arguments and return values,Return keyword,multiple choice,What does the return keyword do?,Prints a value to the console|Sends a value back to where the function was called and exits the function|Declares a variable|Starts a loop,Sends a value back to where the function was called and exits the function,beginner
parameters arguments and return values,No return,multiple choice,What does a function return if it has no return statement?,null|0|An empty string|undefined,undefined,beginner
parameters arguments and return values,Default parameter,multiple choice,What is a default parameter?,A parameter that cannot be changed|A fallback value used when no argument is passed for that parameter|The first parameter in a function|A required parameter,A fallback value used when no argument is passed for that parameter,intermediate
parameters arguments and return values,Default syntax,multiple choice,How do you set a default value for a parameter named discount?,discount = 0.1 in the function definition|discount: 0.1|default discount 0.1|let discount = 0.1,discount = 0.1 in the function definition,intermediate
parameters arguments and return values,Missing argument,multiple choice,What value does a parameter have if no argument is passed and no default is set?,null|0|undefined|NaN,undefined,intermediate
parameters arguments and return values,Return stops execution,True or False,Code written after a return statement inside a function will never run.,True|False,True,intermediate
parameters arguments and return values,Using returned value,multiple choice,How do you store a function's returned value?,const result = calculateTotal([4500])|result = return calculateTotal()|let result = return value|const result = calculateTotal,const result = calculateTotal([4500]),intermediate
parameters arguments and return values,Early return pattern,multiple choice,"What does getGrade(85) return when the function has: if (score >= 70) return ""Pass""; if (score >= 50) return ""Borderline""; return ""Fail"";?",Borderline|Fail|Pass|undefined,Pass,Advanced
parameters arguments and return values,Demo applyDiscount,multiple choice,"In the demo what does applyDiscount(10000, 0.2) return?",9000|8000|10000|2000,8000,Advanced
parameters arguments and return values,Demo no return,multiple choice,"In the demo printTotal prints the total but does not return it. What does const result = printTotal([4500, 1200, 800]) store?",6500|null|0|undefined,undefined,Advanced
arrow functions and scope basics,Arrow syntax,multiple choice,What symbol replaces the function keyword in an arrow function?,->|=>|>>|:=,=>,beginner
arrow functions and scope basics,Implicit return,multiple choice,When can you omit the braces and return keyword in an arrow function?,Never|When the function body is a single expression|When there are multiple parameters|When the function has no parameters,When the function body is a single expression,beginner
arrow functions and scope basics,Single param parens,True or False,For an arrow function with a single parameter the parentheses around the parameter are optional.,True|False,True,intermediate
arrow functions and scope basics,Arrow one-liner,multiple choice,What does const double = n => n * 2; mean?,A variable named double that holds the number 2|An arrow function that takes n and returns n multiplied by 2|A loop that doubles n|A syntax error,An arrow function that takes n and returns n multiplied by 2,intermediate
arrow functions and scope basics,Braces require return,multiple choice,What happens if you use braces in an arrow function but omit the return keyword?,It returns the last expression|It returns undefined|It throws an error|It returns null,It returns undefined,intermediate
arrow functions and scope basics,When to use arrow,multiple choice,When is an arrow function preferred over a function declaration?,For multi-line reusable utility functions|For short single-expression inline transformations|For functions that need hoisting|For constructor functions,For short single-expression inline transformations,intermediate
arrow functions and scope basics,Global scope,multiple choice,What is a variable in global scope?,A variable declared inside a function|A variable declared outside any function accessible everywhere|A variable with the keyword var|A variable inside a loop,A variable declared outside any function accessible everywhere,beginner
arrow functions and scope basics,Local scope,multiple choice,What happens to a variable declared inside a function?,It is accessible everywhere|It is only accessible inside that function|It becomes global after the function runs|It is deleted immediately,It is only accessible inside that function,intermediate
arrow functions and scope basics,Scope prevents collision,True or False,Two different functions can each have a local variable named total without conflict.,True|False,True,intermediate
arrow functions and scope basics,Accessing outer scope,multiple choice,Can a function access a variable declared in the global scope?,No never|Yes functions can read variables from outer scopes|Only with bracket notation|Only if the variable is passed as an argument,Yes functions can read variables from outer scopes,intermediate
arrow functions and scope basics,Cross-function access,multiple choice,Can one function access a local variable declared inside a different function?,Yes always|No — it throws a ReferenceError|Only with const|Only with var,No — it throws a ReferenceError,Advanced
arrow functions and scope basics,Share data between functions,multiple choice,How should you share data between two functions that each have their own local scope?,Use global variables|Use parameters and return values|Use var instead of const|Write both functions in one line,Use parameters and return values,Advanced
arrow functions and scope basics,Demo addNoBraceReturn,multiple choice,"In the demo const addNoBraceReturn = (a, b) => { a + b; } — what does addNoBraceReturn(3, 4) return?",7|undefined|NaN|null,undefined,Advanced
