title,description,type,question,options,answer,difficulty
synchronous vs asynchronous execution,Synchronous definition,multiple choice,What does synchronous execution mean?,Code runs in parallel|Each line waits for the previous one to finish before starting|Code skips errors automatically|Functions run in random order,Each line waits for the previous one to finish before starting,beginner
synchronous vs asynchronous execution,Asynchronous definition,multiple choice,What does asynchronous execution mean?,Code runs faster|An operation is scheduled to run later so other code can continue immediately|Code runs on a second thread|All functions become Promises,An operation is scheduled to run later so other code can continue immediately,beginner
synchronous vs asynchronous execution,Blocking problem,multiple choice,What happens if a slow operation runs synchronously in a browser?,The function returns undefined|The page freezes and becomes unresponsive|JavaScript throws an error|The operation is cancelled automatically,The page freezes and becomes unresponsive,beginner
synchronous vs asynchronous execution,Call stack,multiple choice,What is the call stack?,A list of scheduled timers|A data structure tracking which function is currently executing|A queue for async callbacks|The browser's memory storage,A data structure tracking which function is currently executing,intermediate
synchronous vs asynchronous execution,Event loop rule,multiple choice,When does the event loop move a callback from the task queue to the call stack?,After exactly 1000ms|Only after all synchronous code has finished and the call stack is empty|When the timer fires regardless of the stack|Immediately after the timeout is created,Only after all synchronous code has finished and the call stack is empty,intermediate
synchronous vs asynchronous execution,0ms timeout order,multiple choice,"If setTimeout(fn, 0) is called will fn run before the next synchronous console.log line below it?",Yes 0ms means immediately|No it is still async and runs after all synchronous code completes|Yes but only if the stack is empty at that moment|It depends on the browser,No it is still async and runs after all synchronous code completes,intermediate
synchronous vs asynchronous execution,A C B pattern,multiple choice,"Given: console.log('A'); setTimeout(fn, 0); console.log('C'); — what is the output order?",A B C|A C B|B A C|C A B,A C B,intermediate
synchronous vs asynchronous execution,Single threaded,True or False,JavaScript is single-threaded — only one piece of code runs on the call stack at a time.,True|False,True,beginner
synchronous vs asynchronous execution,Web APIs,multiple choice,When setTimeout is called who actually handles the timer while JavaScript continues?,The call stack|A second JavaScript thread|The browser's Web APIs (outside of JavaScript)|The callback queue,The browser's Web APIs (outside of JavaScript),intermediate
synchronous vs asynchronous execution,Task queue FIFO,multiple choice,Two setTimeouts are both scheduled at 0ms. Which callback runs first?,The second one|The one with a shorter function body|The first one scheduled — the task queue is first-in-first-out|They run simultaneously,The first one scheduled — the task queue is first-in-first-out,intermediate
synchronous vs asynchronous execution,Why async needed,True or False,Asynchronous JavaScript solves the problem of slow operations blocking the entire page.,True|False,True,beginner
synchronous vs asynchronous execution,Examples of async operations,multiple choice,Which of these is an asynchronous operation?,const x = 1 + 2|let name = 'Amara'|fetch('https://api.example.com/data')|console.log('hello'),fetch('https://api.example.com/data'),beginner
synchronous vs asynchronous execution,Demo execution order,multiple choice,In the demo there are 5 lines: sync 'Class schedule loaded' then setTimeout 1s then setTimeout 2s then setTimeout 0ms then sync 'Dashboard updated'. What is the output order by line number?,1 2 3 4 5|1 5 4 2 3|1 4 2 3 5|1 5 2 3 4,1 5 4 2 3,Advanced
synchronous vs asynchronous execution,Slow sync delays async,multiple choice,"If a synchronous loop takes 3 seconds to complete and a setTimeout(fn, 100) was set before it what happens to fn?",fn runs after 100ms as scheduled|fn runs immediately because the stack is full|fn runs after the loop completes — the delay is a minimum not a guarantee|fn is cancelled,fn runs after the loop completes — the delay is a minimum not a guarantee,Advanced
synchronous vs asynchronous execution,Callback queue role,multiple choice,What is the callback queue in the event loop model?,The place where functions are defined|A holding area where completed async callbacks wait until the call stack is empty|The memory where variables are stored|The list of all scheduled intervals,A holding area where completed async callbacks wait until the call stack is empty,intermediate
synchronous vs asynchronous execution,JavaScript threads,multiple choice,How many JavaScript threads does a typical browser page use for running your code?,As many as needed|One — JavaScript is single-threaded for your code|Two — one for sync and one for async|It depends on the device CPU count,One — JavaScript is single-threaded for your code,intermediate
settimeout and setinterval,setTimeout syntax,multiple choice,What are the two arguments to setTimeout?,A string and a number|A callback function and a delay in milliseconds|A promise and a timeout|A function name and a function body,A callback function and a delay in milliseconds,beginner
settimeout and setinterval,setTimeout runs once,True or False,setTimeout runs its callback exactly once.,True|False,True,beginner
settimeout and setinterval,clearTimeout,multiple choice,What do you need in order to cancel a setTimeout before it fires?,Call cancel() on the callback|Store the return value of setTimeout and pass it to clearTimeout|Set the delay to 0|Use delete setTimeout,Store the return value of setTimeout and pass it to clearTimeout,intermediate
settimeout and setinterval,setInterval repeats,multiple choice,What is the key difference between setInterval and setTimeout?,setInterval only accepts arrow functions|setInterval repeats the callback at every interval until stopped whereas setTimeout fires once|setTimeout is faster|setInterval is synchronous,setInterval repeats the callback at every interval until stopped whereas setTimeout fires once,beginner
settimeout and setinterval,clearInterval required,multiple choice,What happens if you never call clearInterval?,JavaScript throws an error after 10 iterations|The interval runs indefinitely until the page is closed|It stops automatically after 60 seconds|The browser slows it down over time,The interval runs indefinitely until the page is closed,intermediate
settimeout and setinterval,Delay is minimum,multiple choice,Is the delay in setTimeout a guaranteed exact time or a minimum time?,Exact — the callback fires precisely at that ms|Minimum — the callback fires at least that many ms later but may be delayed if the stack is busy|Approximate — within 10ms|Maximum — it fires before that time,Minimum — the callback fires at least that many ms later but may be delayed if the stack is busy,intermediate
settimeout and setinterval,Store interval ID,True or False,You must store the return value of setInterval in a variable to be able to stop it later.,True|False,True,intermediate
settimeout and setinterval,Multiple independent timeouts,multiple choice,If you call setTimeout three times with delays of 500ms 800ms and 1200ms do they wait for each other?,Yes each one waits for the previous to finish|No they are all scheduled independently and fire at their own delays|Yes the second waits 500ms after the first|Only if they share the same callback,No they are all scheduled independently and fire at their own delays,intermediate
settimeout and setinterval,setTimeout return value,multiple choice,What does setTimeout return?,The callback function|A Promise|A numeric ID that can be used with clearTimeout|undefined,A numeric ID that can be used with clearTimeout,intermediate
settimeout and setinterval,Stacking intervals bug,multiple choice,If setInterval is called inside a click handler and the button is clicked 3 times without clearing how many intervals are running?,1 — the new one replaces the old|2 — only the last two|3 — each click creates a new independent interval|0 — they cancel each other,3 — each click creates a new independent interval,intermediate
settimeout and setinterval,Fix stacking intervals,multiple choice,What is the correct way to prevent stacking intervals when setInterval is inside a click handler?,Use setTimeout instead|Store the interval ID outside the handler and call clearInterval before starting a new one|Increase the interval delay|Use a global variable for the callback,Store the interval ID outside the handler and call clearInterval before starting a new one,Advanced
settimeout and setinterval,Demo countdown,multiple choice,In the demo the countdown uses setInterval starting at 5 and ticking every 1000ms. How many ticks occur before clearInterval is called?,4|5|6|10,6,Advanced
settimeout and setinterval,Demo countdown message,multiple choice,In the demo after the countdown reaches 0 and clearInterval is called what message is logged?,Countdown complete|Timer stopped|Class is now LIVE!|Session ended,Class is now LIVE!,Advanced
settimeout and setinterval,clearTimeout after fired,multiple choice,What happens if you call clearTimeout with a timeout ID that has already fired?,An error is thrown|The callback runs again|Nothing happens — it is safe to call clearTimeout on an already-fired timeout|The timer resets,Nothing happens — it is safe to call clearTimeout on an already-fired timeout,Advanced
settimeout and setinterval,ms to seconds,multiple choice,How many milliseconds do you pass to setTimeout for a 3-second delay?,3|30|300|3000,3000,beginner
settimeout and setinterval,setInterval use case,multiple choice,Which task is best suited for setInterval?,Showing a welcome message once on page load|Sending a one-time confirmation email|Updating a live clock display every second|Running a function when a button is clicked,Updating a live clock display every second,intermediate
settimeout and setinterval,setTimeout use case,multiple choice,Which task is best suited for setTimeout?,A live countdown that ticks every second|Auto-hiding a notification banner 3 seconds after it appears|Polling an API for updates every 30 seconds|Repeating an animation indefinitely,Auto-hiding a notification banner 3 seconds after it appears,intermediate
callbacks and their limitations,Callback definition,multiple choice,What is a callback?,A function that calls itself|A function passed as an argument to another function to be called later|A return value|A type of loop,A function passed as an argument to another function to be called later,beginner
callbacks and their limitations,Callbacks already used,multiple choice,Which of these uses a callback?,const x = 5|let name = 'Amara'|button.addEventListener('click', function() {})|document.querySelector('#btn'),"button.addEventListener('click', function() {})",beginner
callbacks and their limitations,forEach is a callback,True or False,The function passed to forEach is a callback.,True|False,True,beginner
callbacks and their limitations,Who calls the callback,multiple choice,When you pass a callback to setTimeout who decides when to call it?,You call it manually|The setTimeout function calls it after the delay|JavaScript calls it immediately|The event loop calls it synchronously,The setTimeout function calls it after the delay,beginner
callbacks and their limitations,Sequential async callbacks,multiple choice,How do you make one async step run only AFTER a previous async step completes using callbacks?,Put them on separate lines|Nest the second step inside the callback of the first|Use a for loop|Use two setTimeouts with the same delay,Nest the second step inside the callback of the first,intermediate
callbacks and their limitations,Callback hell definition,multiple choice,What is callback hell?,A runtime error from too many callbacks|Deeply nested callbacks for sequential async steps creating a hard-to-read pyramid of indentation|A loop that runs too long|A callback that never fires,Deeply nested callbacks for sequential async steps creating a hard-to-read pyramid of indentation,intermediate
callbacks and their limitations,Error handling in nested callbacks,multiple choice,What is a problem with error handling in deeply nested callbacks?,Errors are always swallowed|Each nesting level needs its own error handling making it repetitive and easy to miss|Callbacks cannot throw errors|You must use try/catch at every level,Each nesting level needs its own error handling making it repetitive and easy to miss,intermediate
callbacks and their limitations,Adding steps to nested code,multiple choice,What happens to code readability when you add a 6th sequential async step to a 5-level nested callback chain?,Readability improves because the code is now complete|The code must indent one level deeper making the pyramid grow|JavaScript automatically flattens it|The previous callbacks run in parallel,The code must indent one level deeper making the pyramid grow,intermediate
callbacks and their limitations,Callbacks not always bad,True or False,Callbacks are only a problem when multiple async steps must run sequentially — for single async tasks like addEventListener they work fine.,True|False,True,intermediate
callbacks and their limitations,Solution to callback hell,multiple choice,What JavaScript feature was introduced to solve callback hell by enabling flat sequential-looking async code?,Classes|Arrow functions|Promises and async/await|Template literals,Promises and async/await,intermediate
callbacks and their limitations,forEach async difference,multiple choice,When forEach calls your callback on each array element is this an asynchronous operation?,Yes forEach is async|No forEach is synchronous — it calls the callback immediately for each element|It depends on the array size|Only for arrays with more than 100 items,No forEach is synchronous — it calls the callback immediately for each element,intermediate
callbacks and their limitations,Demo pipeline steps,multiple choice,In the demo the enrolment pipeline has 4 nested steps. What is the correct sequential order?,sendReceipt → confirmEnrolment → processPayment → checkSlots|checkSlots → processPayment → confirmEnrolment → sendReceipt|processPayment → checkSlots → sendReceipt → confirmEnrolment|confirmEnrolment → checkSlots → processPayment → sendReceipt,checkSlots → processPayment → confirmEnrolment → sendReceipt,Advanced
callbacks and their limitations,Demo payment amount,multiple choice,In the demo processPayment is called with what amount?,10000|12000|15000|20000,15000,Advanced
callbacks and their limitations,Demo pipeline nesting depth,multiple choice,In the demo the 4-step sequential callback pipeline is how many levels of indentation deep at its innermost point?,2|3|4|5,4,Advanced
callbacks and their limitations,Demo callback hell visualised,multiple choice,In the demo Part 5 shows a pyramid diagram of 5 nested steps. What does this visualise?,How fast callbacks run|The memory used by callbacks|The callback hell problem — readability decreasing as sequential async steps grow|How to avoid callbacks,The callback hell problem — readability decreasing as sequential async steps grow,Advanced
callbacks and their limitations,Callback results dependency,multiple choice,Why must step 2 be nested inside step 1's callback when step 2 needs step 1's result?,Because JavaScript requires it syntactically|Because step 1 is async — by the time the next line runs step 1 has not finished yet|Because callbacks always run in pairs|Because you cannot call two functions in sequence,Because step 1 is async — by the time the next line runs step 1 has not finished yet,Advanced
callbacks and their limitations,Pyramid of doom synonym,multiple choice,Callback hell is also called the pyramid of doom because of what visual characteristic?,The code runs slowly|Each nested callback adds another level of indentation pushing code rightward like a pyramid|The code uses too much memory|The callbacks form a triangle shape in the call stack,Each nested callback adds another level of indentation pushing code rightward like a pyramid,intermediate
