title,description,type,question,options,answer,difficulty
how the web works,Request-response cycle,multiple choice,What happens first when you type a URL into your browser and press Enter?,The browser renders the page|The server sends CSS files|The browser sends an HTTP request to the server|JavaScript runs on the page,The browser sends an HTTP request to the server,beginner
how the web works,HTTP methods,multiple choice,What does the HTTP GET method do?,Sends data to the server|Requests a resource from the server|Deletes a file on the server|Updates an existing record,Requests a resource from the server,beginner
how the web works,Status codes,multiple choice,What does a 200 status code mean?,The page was not found|The server encountered an error|The request was successful|The request was redirected,The request was successful,beginner
how the web works,Status codes,multiple choice,Which HTTP status code means the requested page was not found?,200|301|404|500,404,beginner
how the web works,Client and server,multiple choice,In web communication the client is typically the ________.,database|web server|browser|router,browser,beginner
how the web works,DevTools Network tab,multiple choice,Which DevTools tab shows all HTTP requests made by the browser?,Console|Elements|Network|Sources,Network,beginner
how the web works,Request-response cycle,True or False,When you load a web page the browser makes only one request to the server.,True|False,False,beginner
how the web works,HTTP requests,Fill in the gap,The browser sends a ________ request when you type a URL and press Enter.,GET|POST|DELETE|PUT,GET,beginner
how the web works,Status codes,multiple choice,A 500 status code indicates which type of problem?,Client-side error|Page not found|Server-side error|Successful request,Server-side error,intermediate
how the web works,DNS,multiple choice,What role does DNS play when you visit a website?,It styles the web page|It translates domain names into IP addresses|It executes JavaScript|It compresses images,It translates domain names into IP addresses,intermediate
how the web works,Request-response cycle,multiple choice,When loading jumia.com.ng the browser requests multiple files. Which file type is requested first?,JavaScript|Images|CSS|HTML document,HTML document,intermediate
how the web works,HTTP headers,multiple choice,Where can you see the request URL and HTTP method for a specific request in Chrome?,Elements tab|Console tab|Headers section of the Network tab|Sources tab,Headers section of the Network tab,intermediate
how the web works,Client-server model,multiple choice,What does the server send back to the browser after receiving a request?,Only HTML|Only JavaScript|A response containing the requested resources|A new HTTP method,A response containing the requested resources,intermediate
how the web works,Request-response cycle,select 2 correct options,Which two of the following are parts of an HTTP request visible in DevTools?,Request URL|CSS animation speed|Request Method|Font family used,Request URL|Request Method,intermediate
how the web works,Status codes,multiple choice,A developer loads a page and sees status code 301 in the Network tab. What does this mean?,Server error|Page not found|The resource has been permanently redirected|Successful request,The resource has been permanently redirected,Advanced
how the web works,Request-response cycle,multiple choice,Why does the browser make dozens of requests when loading a single page like jumia.com.ng?,The server is slow|Each resource (HTML CSS JS images fonts) requires a separate request|The browser is broken|DNS returns multiple pages,Each resource (HTML CSS JS images fonts) requires a separate request,Advanced
how the web works,HTTP methods,multiple choice,A user submits a login form on a Nigerian banking website. Which HTTP method is most likely used?,GET|POST|DELETE|PATCH,POST,Advanced
where javascript fits in,Three web technologies,multiple choice,What is the role of HTML on a web page?,Adds interactivity and behaviour|Provides the structure and content|Controls colours and layout|Connects to the database,Provides the structure and content,beginner
where javascript fits in,Three web technologies,multiple choice,What does CSS do on a web page?,Provides structure|Handles events|Controls visual styling and layout|Stores data,Controls visual styling and layout,beginner
where javascript fits in,Role of JavaScript,multiple choice,What does JavaScript add to a web page?,Structure|Styling|Interactivity and behaviour|Server-side storage,Interactivity and behaviour,beginner
where javascript fits in,Static vs interactive pages,True or False,A page with only HTML and CSS can respond to button clicks without JavaScript.,True|False,False,beginner
where javascript fits in,Script tag,multiple choice,Which HTML tag is used to link a JavaScript file to a web page?,<link>|<style>|<script>|<js>,<script>,beginner
where javascript fits in,DOM manipulation,multiple choice,In the demo script.js uses document.getElementById() to do what?,Delete the page|Find an HTML element by its ID|Create a new server|Change the CSS file,Find an HTML element by its ID,beginner
where javascript fits in,Event listeners,True or False,addEventListener is a JavaScript method that allows code to run in response to user actions like clicks.,True|False,True,beginner
where javascript fits in,Static vs interactive pages,multiple choice,What happens when you click a button on a page that has no JavaScript linked?,The page refreshes automatically|Nothing happens|The button changes colour|An alert appears,Nothing happens,intermediate
where javascript fits in,Three web technologies,select all correct options,Which of the following are correct pairings of technology and role?,HTML provides structure|CSS handles click events|JavaScript adds behaviour|CSS controls styling,HTML provides structure|JavaScript adds behaviour|CSS controls styling,intermediate
where javascript fits in,Script tag,multiple choice,What attribute on the script tag specifies the external JavaScript file to load?,href|link|src|type,src,intermediate
where javascript fits in,DOM and events,multiple choice,In the Module 1 demo what three steps does the JavaScript code perform?,Request data from a server then display it|Find elements listen for a click and update the page|Create new HTML then delete old HTML|Connect to a database then render a table,Find elements listen for a click and update the page,intermediate
where javascript fits in,Real-world JavaScript,multiple choice,When you type in a search box and suggestions appear which technology is responsible for that behaviour?,HTML|CSS|JavaScript|DNS,JavaScript,intermediate
where javascript fits in,Static vs interactive pages,multiple choice,A developer has a page with a styled button but clicking it does nothing. What is the most likely cause?,The CSS is broken|The HTML is invalid|No JavaScript is linked to handle the click event|The server returned a 404,No JavaScript is linked to handle the click event,intermediate
where javascript fits in,Three web technologies,multiple choice,On Jumia when you click Add to Cart and the cart count updates without the page reloading which technology is responsible?,HTML|CSS|JavaScript|HTTP,JavaScript,Advanced
where javascript fits in,DOM manipulation,multiple choice,What does heading.textContent = 'New Text' do in JavaScript?,Creates a new HTML file|Changes the visible text of the heading element|Sends text to the server|Deletes the heading,Changes the visible text of the heading element,Advanced
running javascript in a web page,console.log,multiple choice,What does console.log() do?,Displays output on the visible web page|Prints a message to the DevTools Console|Saves data to a file|Sends data to a server,Prints a message to the DevTools Console,beginner
running javascript in a web page,Script placement,multiple choice,Where should the script tag be placed in an HTML file?,Inside the <head> tag|Inside the <title> tag|Just before the closing </body> tag|After the </html> tag,Just before the closing </body> tag,beginner
running javascript in a web page,External scripts,multiple choice,What file extension should a JavaScript file have?,".html|.css|.js|.py",.js,beginner
running javascript in a web page,console.log,True or False,The output of console.log() appears on the visible web page that users see.,True|False,False,beginner
running javascript in a web page,DevTools Console,multiple choice,Which keyboard shortcut opens DevTools in Chrome?,Ctrl + P|F12|Ctrl + S|Alt + Tab,F12,beginner
running javascript in a web page,Execution order,True or False,JavaScript statements inside a script file run in order from top to bottom.,True|False,True,beginner
running javascript in a web page,Inline vs external,multiple choice,What is the difference between an inline script and an external script?,Inline scripts are faster|An inline script is written directly in the HTML file while an external script is in a separate .js file|External scripts cannot use console.log|There is no difference,An inline script is written directly in the HTML file while an external script is in a separate .js file,intermediate
running javascript in a web page,Script linking,Fill in the gap,To link an external JavaScript file called app.js you write: <script ________></script>,src="app.js"|href="app.js"|link="app.js"|file="app.js",src="app.js",intermediate
running javascript in a web page,console.log output,multiple choice,What will appear in the Console after running: console.log("Naija") followed by console.log(42)?,Naija 42 on one line|Only Naija|Naija on the first line and 42 on the second line|An error,Naija on the first line and 42 on the second line,intermediate
running javascript in a web page,Debugging,multiple choice,If the Console is empty after loading a page with a linked script what is the most likely cause?,DevTools is broken|The script file name in the src attribute does not match the actual file name|The browser does not support JavaScript|The HTML is invalid,The script file name in the src attribute does not match the actual file name,intermediate
running javascript in a web page,Script placement,multiple choice,Why is the script tag placed before the closing body tag rather than in the head?,So it loads faster from the server|So that all HTML elements exist before JavaScript tries to access them|Because the head tag cannot contain script tags|It makes no difference,So that all HTML elements exist before JavaScript tries to access them,intermediate
running javascript in a web page,console.log types,select 2 correct options,Which two of the following are valid console.log statements?,console.log("Hello")|console.log(100)|console.Log("test")|consolelog("hi"),console.log("Hello")|console.log(100),intermediate
running javascript in a web page,DevTools line numbers,multiple choice,What do the file name and line number shown on the right side of Console output tell you?,Which server processed the request|Which CSS file styled the element|Exactly which file and line produced that log output|How many times the script ran,Exactly which file and line produced that log output,Advanced
running javascript in a web page,Script execution,multiple choice,A developer has two script tags in their HTML linking to a.js and b.js in that order. Which file executes first?,b.js|They run simultaneously|a.js|It is random,a.js,Advanced
running javascript in a web page,console.log vs page output,multiple choice,A junior developer writes console.log("Welcome") expecting the text to appear on the page. Why does it not appear?,The browser is offline|console.log outputs to the developer Console not to the rendered HTML page|The string is too short|JavaScript cannot display text,console.log outputs to the developer Console not to the rendered HTML page,Advanced
running javascript in a web page,Inline vs external tradeoffs,multiple choice,What is the main advantage of using an external .js file instead of an inline script for a large project?,External files run faster|External files can be reused across multiple HTML pages and keep code organised|Inline scripts do not support console.log|External files are required by all browsers,External files can be reused across multiple HTML pages and keep code organised,Advanced
