title,description,type,question,options,answer,difficulty
map and filter,Higher-order function definition,multiple choice,What is a higher-order function?,A function that runs faster|A function that takes another function as an argument|A function that returns a number|A function defined inside a class,A function that takes another function as an argument,beginner
map and filter,map purpose,multiple choice,What does array.map(callback) do?,Removes elements from the array|Returns a new array with every element transformed by the callback|Modifies the original array|Returns a single value,Returns a new array with every element transformed by the callback,beginner
map and filter,map return length,True or False,The array returned by map always has the same number of elements as the original.,True|False,True,beginner
map and filter,filter purpose,multiple choice,What does array.filter(callback) do?,Transforms every element|Returns a new array containing only elements where the callback returned true|Removes elements from the original|Sorts the array,Returns a new array containing only elements where the callback returned true,beginner
map and filter,filter return length,multiple choice,Can the array returned by filter be shorter than the original?,No it is always the same length|Yes it contains only elements that passed the test|It is always longer|It is always empty,Yes it contains only elements that passed the test,beginner
map and filter,Original unchanged,True or False,map and filter both modify the original array.,True|False,False,beginner
map and filter,map extract field,multiple choice,What does orders.map(order => order.amount) produce?,A single number|A new array containing just the amount from each order|The original orders array|undefined,A new array containing just the amount from each order,intermediate
map and filter,filter boolean callback,multiple choice,What must the filter callback return to keep an element?,The element itself|A truthy value (such as true)|The index|The array,A truthy value (such as true),intermediate
map and filter,filter combined condition,multiple choice,What does products.filter(p => p.inStock && p.price < 2000) keep?,All products|Only products that are both in stock AND priced under 2000|Products that are in stock OR under 2000|Only the first match,Only products that are both in stock AND priced under 2000,intermediate
map and filter,Chain order,multiple choice,When chaining filter and map which order is more efficient?,map then filter|filter then map because fewer elements need to be transformed|The order does not matter|You cannot chain them,filter then map because fewer elements need to be transformed,intermediate
map and filter,map with spread,multiple choice,What does orders.map(o => ({ ...o amountWithVAT: o.amount * 1.075 })) do?,Modifies the original orders|Returns a new array where each object has all original properties plus a new amountWithVAT property|Deletes the amount property|Returns a single object,Returns a new array where each object has all original properties plus a new amountWithVAT property,Advanced
map and filter,Demo jsPassers,multiple choice,"In the demo students.filter(s => s.course === ""JavaScript"" && s.score >= 70).map(s => s.name) returns what?",All student names|Only names of JavaScript students who scored 70 or above|Only scores|An empty array,Only names of JavaScript students who scored 70 or above,Advanced
map and filter,Callback parameters,multiple choice,What parameters does the map callback receive?,Only the element|element index and array|Only the index|element and length,element index and array,intermediate
map and filter,Demo highValuePaid,multiple choice,"In the demo orders.filter(o => o.status === ""paid"" && o.amount >= 5000) on 5 orders returns how many?",1|2|3|5,3,Advanced
map and filter,Arrow function style,True or False,Arrow functions are the idiomatic style for callbacks in map and filter.,True|False,True,intermediate
map and filter,filter no match,multiple choice,What does filter return if no elements match the condition?,undefined|null|An empty array|An error,An empty array,intermediate
map and filter,map vs forEach,multiple choice,What is the key difference between map and forEach?,They are identical|map returns a new array while forEach returns undefined|forEach returns a new array|map modifies the original,map returns a new array while forEach returns undefined,intermediate
reduce and find,reduce purpose,multiple choice,What does array.reduce(callback initialValue) do?,Filters the array|Accumulates all elements into a single value|Returns the first element|Sorts the array,Accumulates all elements into a single value,beginner
reduce and find,reduce parameters,multiple choice,What two parameters does the reduce callback receive?,element and index|accumulator and current element|key and value|array and length,accumulator and current element,beginner
reduce and find,Initial value for sum,multiple choice,What initial value should you use when summing numbers with reduce?,1|null|0|undefined,0,beginner
reduce and find,reduce step by step,multiple choice,"What is the final result of [5000, 3200, 8000].reduce((acc, n) => acc + n, 0)?",5000|8200|16200|16200,16200,intermediate
reduce and find,Must return accumulator,True or False,Forgetting to return the accumulator from the reduce callback gives undefined on the next iteration.,True|False,True,intermediate
reduce and find,reduce with object,multiple choice,What initial value do you use when building a frequency counter object with reduce?,0|[]|{}|null,{},intermediate
reduce and find,reduce conditional sum,multiple choice,"What does orders.reduce((acc, o) => o.status === ""paid"" ? acc + o.amount : acc, 0) do?",Sums all amounts|Sums only the amounts of paid orders|Counts paid orders|Returns the first paid order,Sums only the amounts of paid orders,intermediate
reduce and find,find purpose,multiple choice,What does array.find(callback) return?,A new array of matches|The first element where the callback returns true or undefined if none match|The last matching element|A boolean,The first element where the callback returns true or undefined if none match,beginner
reduce and find,find no match,multiple choice,What does find return if no element matches?,null|An empty array|An error|undefined,undefined,intermediate
reduce and find,findIndex purpose,multiple choice,What does findIndex return when it finds a match?,The element|The index of the first matching element|true|The array length,The index of the first matching element,intermediate
reduce and find,findIndex no match,multiple choice,What does findIndex return when no element matches?,0|undefined|null|-1,-1,intermediate
reduce and find,some purpose,multiple choice,What does array.some(callback) return?,The matching element|true if at least one element passes the test otherwise false|A new array|The count of matches,true if at least one element passes the test otherwise false,intermediate
reduce and find,every purpose,multiple choice,What does array.every(callback) return?,true always|true only if ALL elements pass the test otherwise false|The first failing element|A count,true only if ALL elements pass the test otherwise false,intermediate
reduce and find,Demo statusCounts,multiple choice,"In the demo the reduce frequency counter on orders produces { paid: 3, pending: 1, failed: 1 }. What was the initial value?",0|[]|{}|null,{},Advanced
reduce and find,Demo find by id,multiple choice,"In the demo students.find(s => s.id === ""STU-002"") returns what?",The index 2|The student object with id STU-002|undefined|An array of one student,The student object with id STU-002,Advanced
reduce and find,some vs every,multiple choice,"If one student scored below 70 what does students.every(s => s.score >= 70) return?",true|false|undefined|The failing student,false,Advanced
chaining array methods,Why chain,multiple choice,Why is method chaining useful?,It modifies the original array|It lets you transform data in stages within a single expression without intermediate variables|It is faster than using loops|It prevents errors,It lets you transform data in stages within a single expression without intermediate variables,beginner
chaining array methods,How chaining works,multiple choice,Why can you call .map() directly after .filter()?,Because filter modifies the original|Because filter returns a new array and map can be called on any array|Because they are the same method|Because of hoisting,Because filter returns a new array and map can be called on any array,intermediate
chaining array methods,filter map reduce chain,multiple choice,"What does orders.filter(o => o.status === ""paid"").map(o => o.amount).reduce((acc, n) => acc + n, 0) produce?",An array of paid orders|A single number representing the total of paid order amounts|An array of amounts|undefined,A single number representing the total of paid order amounts,intermediate
