title,description,type,question,options,answer,difficulty
the for loop,Three parts,multiple choice,What are the three parts of a for loop?,start stop reset|initialise condition update|declare assign return|input process output,initialise condition update,beginner
the for loop,Initialise purpose,multiple choice,What does the initialise part of a for loop do?,Checks if the loop should continue|Sets the starting value of the counter|Increases the counter|Runs the loop body,Sets the starting value of the counter,beginner
the for loop,Condition purpose,multiple choice,What does the condition part of a for loop do?,Starts the counter|Updates the counter after each iteration|Determines whether the loop should keep running|Prints the output,Determines whether the loop should keep running,beginner
the for loop,Update purpose,multiple choice,What does i++ do in a for loop?,Declares i|Checks if i is less than the limit|Adds 1 to i after each iteration|Resets i to zero,Adds 1 to i after each iteration,beginner
the for loop,Loop output,multiple choice,"What does this loop output: for (let i = 0; i < 3; i++) { console.log(i); }?",1 2 3|0 1 2|0 1 2 3|1 2,0 1 2,beginner
the for loop,Array access,multiple choice,How do you access elements in an array during a for loop?,array(i)|array.i|array[i]|array{i},array[i],intermediate
the for loop,Condition with length,multiple choice,Why do we use i < array.length as the condition when looping an array?,To start at the right index|Because the last valid index is length - 1 and < stops before length|Because length equals the last index|To create an infinite loop,Because the last valid index is length - 1 and < stops before length,intermediate
the for loop,Off-by-one bug,multiple choice,What happens if you use i <= prices.length instead of i < prices.length?,The loop skips the last item|The loop accesses an index that does not exist producing undefined|The loop throws an error|The loop runs one fewer time,The loop accesses an index that does not exist producing undefined,intermediate
the for loop,Off-by-one rule,multiple choice,What is the correct condition to iterate an array in a for loop?,i <= array.length|i < array.length|i === array.length|i > 0,i < array.length,intermediate
the for loop,Accumulator placement,multiple choice,Where should you declare a running total variable when accumulating inside a loop?,Inside the loop body|After the loop|Before the loop|Inside the condition,Before the loop,intermediate
the for loop,Running total,multiple choice,"What is cartTotal after: let cartTotal = 0; for prices [4500, 1200, 800]?",4500|5700|6500|0,6500,intermediate
the for loop,Demo cart total,multiple choice,"In the demo what is the final cart total for prices [4500, 1200, 8000, 600, 3300]?",8000|17600|13600|4500,17600,Advanced
the for loop,Human-readable index,multiple choice,Why does the demo use (i + 1) when printing item labels?,Because arrays start at 1|To convert from 0-based index to human-readable numbering starting at 1|To calculate the total|To skip the first element,To convert from 0-based index to human-readable numbering starting at 1,Advanced
while and do while,while condition check,multiple choice,When is the condition of a while loop checked?,After the loop body runs|Before each iteration|Only at the start|Only at the end,Before each iteration,beginner
while and do while,while may not run,True or False,A while loop may never run if the condition is false from the start.,True|False,True,beginner
while and do while,while use case,multiple choice,When should you use a while loop instead of a for loop?,When you know exactly how many iterations|When you do not know in advance how many iterations are needed|When iterating an array by index|When you need the index variable,When you do not know in advance how many iterations are needed,beginner
while and do while,Infinite loop cause,multiple choice,What causes an infinite loop in a while statement?,Using break|Forgetting to update the variable in the condition so it never becomes false|Using console.log|Declaring a variable before the loop,Forgetting to update the variable in the condition so it never becomes false,intermediate
while and do while,Safety requirements,multiple choice,How many requirements are there for a safe while loop?,1|2|3|4,3,intermediate
while and do while,do while minimum runs,multiple choice,What is the minimum number of times the body of a do...while loop runs?,0|1|2|It depends on the condition,1,intermediate
while and do while,do while vs while,multiple choice,What is the key difference between while and do...while?,do...while is faster|do...while checks the condition after running the body so it always executes at least once|while runs more times|There is no difference,do...while checks the condition after running the body so it always executes at least once,intermediate
while and do while,Demo PIN retry,multiple choice,In the demo the PIN retry loop uses while (!pinCorrect && attempts < 3). What happens if pinCorrect becomes true on attempt 2?,The loop continues to 3|The loop stops because the condition is now false|An error is thrown|The loop resets,The loop stops because the condition is now false,Advanced
while and do while,Browser freeze,multiple choice,What happens if you accidentally run an infinite while loop in the browser?,The page turns red|The browser tab freezes and requires a force-quit|The loop stops after 1000 iterations automatically|Nothing,The browser tab freezes and requires a force-quit,Advanced
while and do while,do while demo,multiple choice,"In the demo what is retries after: do { retries++; } while (retries < 3)?",0|1|2|3,3,Advanced
for of and for in,for...of gives,multiple choice,What does for...of give you on each iteration?,The index|The value directly|The key name|The array length,The value directly,beginner
for of and for in,for...of on array,multiple choice,What is the correct syntax to iterate values of an array with for...of?,for (const item in array)|for (const item of array)|for (let i = 0; i < array.length; i++)|array.forEach(item),for (const item of array),beginner
for of and for in,for...in gives,multiple choice,What does for...in give you on each iteration when used on an object?,The value|The key (property name)|The index|The full object,The key (property name),beginner
for of and for in,for...of on string,True or False,for...of can iterate through each character of a string.,True|False,True,intermediate
for of and for in,Bracket notation in for...in,multiple choice,Why must you use object[key] instead of object.key inside a for...in loop?,Because dot notation is slower|Because key is a variable and dot notation looks for a literal property named key|Because bracket notation is modern|Because the object is frozen,Because key is a variable and dot notation looks for a literal property named key,intermediate
for of and for in,for...of best for,multiple choice,When should you use for...of?,When you need the index|When you only need the values from an array or string and do not need the index|When iterating object keys|When you need to use break only,When you only need the values from an array or string and do not need the index,intermediate
for of and for in,for...in best for,multiple choice,When should you use for...in?,When iterating array values|When iterating the keys of an object|When you need to use continue|When iterating strings,When iterating the keys of an object,intermediate
for of and for in,Don't use for...in on arrays,True or False,You should avoid using for...in on arrays because it gives index strings instead of values.,True|False,True,intermediate
for of and for in,Vowel counter demo,multiple choice,"In the demo how many vowels does for...of count in the name ""Amara""?",2|3|4|5,3,Advanced
for of and for in,for...of accumulator,multiple choice,"In the demo a for...of loop calculates cart total from [{item price:4500},{item price:1200},{item price:600}]. What is the total?",4500|5700|6300|7200,6300,Advanced
break continue and avoiding infinite loops,break effect,multiple choice,What does break do inside a loop?,Skips the current iteration|Exits the loop entirely and stops all remaining iterations|Restarts the loop|Pauses execution,Exits the loop entirely and stops all remaining iterations,beginner
break continue and avoiding infinite loops,continue effect,multiple choice,What does continue do inside a loop?,Exits the loop|Skips the rest of the current iteration and moves to the next|Stops the program|Restarts from the first iteration,Skips the rest of the current iteration and moves to the next,beginner
break continue and avoiding infinite loops,break use case,multiple choice,When is break most useful?,When you want to process all items|When you only need the first matching item and want to stop searching|When you need to count items|When iterating an object,When you only need the first matching item and want to stop searching,intermediate
break continue and avoiding infinite loops,continue use case,multiple choice,When is continue most useful?,When you want to exit the loop|When you want to skip certain items but continue processing the rest|When you want to run code after the loop|When you need the index,When you want to skip certain items but continue processing the rest,intermediate
break continue and avoiding infinite loops,Demo break output,multiple choice,"In the demo orders loop [delivered delivered cancelled pending delivered] with break on cancelled how many orders are checked?",1|2|3|5,3,intermediate
break continue and avoiding infinite loops,Demo continue output,multiple choice,"In the demo scores [88 45 72 31 95 60] with continue on score < 50 how many Pass lines are printed?",2|3|4|6,4,intermediate
break continue and avoiding infinite loops,break vs continue,multiple choice,What is the key difference between break and continue?,They do the same thing|break exits the loop entirely while continue only skips the current iteration|break is for while loops and continue is for for loops|continue exits the loop,break exits the loop entirely while continue only skips the current iteration,intermediate
break continue and avoiding infinite loops,Safety net pattern,multiple choice,What is the purpose of adding a MAX_ATTEMPTS counter to a while loop?,To count how many items were processed|To guarantee the loop exits even if the primary condition never becomes false|To make the loop run faster|To print a status message,To guarantee the loop exits even if the primary condition never becomes false,Advanced
break continue and avoiding infinite loops,Remaining items with break,multiple choice,After break runs what happens to the remaining items in the array?,They are still processed|They are never processed|They are deleted|They become undefined,They are never processed,Advanced
break continue and avoiding infinite loops,Remaining items with continue,multiple choice,After continue runs what happens to the remaining items in the array?,They are skipped|They are still processed in subsequent iterations|The loop exits|They become null,They are still processed in subsequent iterations,Advanced
the for loop,Loop starts at zero,True or False,Arrays in JavaScript are zero-indexed meaning the first element is at index 0.,True|False,True,beginner
the for loop,Decrement loop,multiple choice,"What does this loop do: for (let i = 5; i > 0; i--) { console.log(i); }?",Counts from 0 to 5|Counts from 5 down to 1|Counts from 5 down to 0|Runs infinitely,Counts from 5 down to 1,intermediate
while and do while,Three safety requirements,select all correct options,Which of the following are requirements for a safe while loop?,A condition that can become false|A variable that is updated inside the loop|A starting condition that is defined before the loop|An array to iterate,A condition that can become false|A variable that is updated inside the loop|A starting condition that is defined before the loop,intermediate
for of and for in,for...in on array warning,multiple choice,What does for...in give you when used on an array?,The values|The index positions as strings|The array length|undefined,The index positions as strings,intermediate
the for loop,Nested loops,multiple choice,What happens when you put one for loop inside another?,A syntax error|The inner loop runs completely for each iteration of the outer loop|Only the outer loop runs|Only the inner loop runs,The inner loop runs completely for each iteration of the outer loop,Advanced
for of and for in,for...of on object,True or False,You can use for...of directly on a plain object to iterate its key-value pairs.,True|False,False,Advanced
while and do while,while vs for choice,multiple choice,A developer needs to keep asking for user input until they type quit. Which loop is most appropriate?,for loop|while loop|for...of loop|for...in loop,while loop,beginner
