title,description,type,question,options,answer,difficulty
creating arrays and accessing elements,What is an array,multiple choice,What is an array in JavaScript?,A single value|An ordered list of values|A function|An object with methods only,An ordered list of values,beginner
creating arrays and accessing elements,Creating syntax,multiple choice,What syntax is used to create an array?,{ }|( )|[ ]|< >,[ ],beginner
creating arrays and accessing elements,First index,multiple choice,What index does the first element of an array have?,1|0|-1|array.start,0,beginner
creating arrays and accessing elements,Length property,multiple choice,How do you get the number of elements in an array?,array.size()|array.count|array.length|array.total,array.length,beginner
creating arrays and accessing elements,Access element,multiple choice,How do you access the third element of an array called items?,items[3]|items(3)|items[2]|items.3,items[2],beginner
creating arrays and accessing elements,Last element,multiple choice,How do you dynamically access the last element of an array?,array[last]|array[-1]|array[array.length - 1]|array.last(),array[array.length - 1],intermediate
creating arrays and accessing elements,Out of bounds,multiple choice,What is returned when you access an index that does not exist in the array?,null|An error|0|undefined,undefined,intermediate
creating arrays and accessing elements,const array mutable,True or False,An array declared with const cannot have its elements changed.,True|False,False,intermediate
creating arrays and accessing elements,const prevents reassignment,multiple choice,What does const prevent when used with an array?,Changing the array's contents|Reassigning the variable itself to a different array|Adding new elements|Accessing elements,Reassigning the variable itself to a different array,intermediate
creating arrays and accessing elements,Update element,multiple choice,How do you update the element at index 1 of cart to a new value?,cart(1) = value|cart.1 = value|cart[1] = value|cart{1} = value,cart[1] = value,intermediate
creating arrays and accessing elements,Array of objects access,multiple choice,"Given orders = [{id: ""ORD-001"", customer: ""Amara""}] how do you access the customer of the first order?",orders.customer|orders[0].customer|orders.0.customer|customer[0],orders[0].customer,intermediate
creating arrays and accessing elements,Mixed types,True or False,An array can contain elements of different data types like strings numbers and booleans.,True|False,True,intermediate
creating arrays and accessing elements,Demo last order status,multiple choice,In the demo how is the last order's status accessed?,orders[last].status|orders[-1].status|orders[orders.length - 1].status|orders.last.status,orders[orders.length - 1].status,Advanced
creating arrays and accessing elements,Negative index,multiple choice,What does items[-1] return in JavaScript?,The last element|undefined|An error|The first element,undefined,Advanced
push pop shift unshift splice and slice,push effect,multiple choice,What does push() do to an array?,Adds an item to the start|Adds an item to the end|Removes the last item|Removes the first item,Adds an item to the end,beginner
push pop shift unshift splice and slice,pop effect,multiple choice,What does pop() do to an array?,Adds an item to the end|Removes and returns the last item|Removes the first item|Returns the array length,Removes and returns the last item,beginner
push pop shift unshift splice and slice,shift effect,multiple choice,What does shift() do to an array?,Adds an item to the start|Removes and returns the first item|Removes the last item|Shifts all indices by 1,Removes and returns the first item,beginner
push pop shift unshift splice and slice,unshift effect,multiple choice,What does unshift() do to an array?,Removes the first item|Adds one or more items to the start|Adds to the end|Sorts the array,Adds one or more items to the start,beginner
push pop shift unshift splice and slice,push return value,multiple choice,What does push() return?,The added item|The removed item|The new length of the array|undefined,The new length of the array,intermediate
push pop shift unshift splice and slice,pop return value,multiple choice,What does pop() return?,The new length|The removed item|undefined|The first element,The removed item,intermediate
push pop shift unshift splice and slice,splice purpose,multiple choice,What can splice() do?,Only remove items|Only add items|Insert remove or replace items at any position|Create a copy of the array,Insert remove or replace items at any position,intermediate
push pop shift unshift splice and slice,splice mutates,True or False,splice() changes the original array (mutates it).,True|False,True,intermediate
push pop shift unshift splice and slice,splice insert,multiple choice,How do you insert an item at index 1 without removing any elements?,splice(1 1 item)|splice(1 0 item)|splice(0 1 item)|splice(item 1 0),splice(1 0 item),intermediate
push pop shift unshift splice and slice,slice mutates,True or False,slice() modifies the original array.,True|False,False,intermediate
push pop shift unshift splice and slice,slice end exclusive,multiple choice,"What does orders.slice(2, 4) return from a 5-element array?",Elements at indices 2 3 and 4|Elements at indices 2 and 3|Elements at indices 3 and 4|The entire array,Elements at indices 2 and 3,intermediate
push pop shift unshift splice and slice,slice negative,multiple choice,What does orders.slice(-2) return from a 5-element array?,First 2 elements|Last 2 elements|Elements 2 to end|An error,Last 2 elements,intermediate
push pop shift unshift splice and slice,splice vs slice,multiple choice,What is the key difference between splice and slice?,They are the same|splice mutates the original array while slice returns a new copy without changing the original|slice is faster|splice only removes items,splice mutates the original array while slice returns a new copy without changing the original,Advanced
push pop shift unshift splice and slice,Demo splice remove,multiple choice,"In the demo products.splice(1, 2) on [Earbuds Phone Case USB Cable Keyboard] removes which items?",Earbuds and Phone Case|Phone Case and USB Cable|USB Cable and Keyboard|Earbuds and Keyboard,Phone Case and USB Cable,Advanced
iterating arrays for for of and forEach,Three ways to iterate,multiple choice,Which of the following is NOT a way to iterate an array in JavaScript?,for loop|for...of|forEach|for...in (on arrays),for...in (on arrays),beginner
iterating arrays for for of and forEach,forEach purpose,multiple choice,What does forEach do?,Returns a new array|Calls a function once for each element in the array|Filters the array|Sorts the array,Calls a function once for each element in the array,beginner
iterating arrays for for of and forEach,forEach return value,multiple choice,What does forEach return?,A new array|The modified array|undefined|The last element,undefined,intermediate
iterating arrays for for of and forEach,forEach second parameter,multiple choice,What is the optional second parameter that the forEach callback receives?,The array|The index|The length|The previous element,The index,intermediate
iterating arrays for for of and forEach,break in forEach,True or False,You can use break inside a forEach callback to exit early.,True|False,False,intermediate
iterating arrays for for of and forEach,break alternative,multiple choice,Which loop type should you use if you need break or continue?,forEach|for...of|map|filter,for...of,intermediate
iterating arrays for for of and forEach,map purpose,multiple choice,What does map() do?,Modifies the original array|Returns a new array with each element transformed by the callback|Filters elements|Logs each element,Returns a new array with each element transformed by the callback,intermediate
iterating arrays for for of and forEach,map mutates,True or False,map() changes the original array.,True|False,False,intermediate
iterating arrays for for of and forEach,filter purpose,multiple choice,What does filter() do?,Transforms each element|Returns a new array containing only elements where the callback returned true|Removes all elements|Sorts the array,Returns a new array containing only elements where the callback returned true,intermediate
iterating arrays for for of and forEach,filter result length,multiple choice,Is the array returned by filter always the same length as the original?,Yes always|No it can be shorter because elements that fail the test are excluded|It is always longer|It is always empty,No it can be shorter because elements that fail the test are excluded,intermediate
iterating arrays for for of and forEach,map demo,multiple choice,In the demo what does prices.map(price => price * 1.075) produce?,The same prices array|A new array with each price increased by 7.5%|An array of booleans|undefined,A new array with each price increased by 7.5%,Advanced
iterating arrays for for of and forEach,filter demo,multiple choice,In the demo prices.filter(price => price > 3000) on [4500 1200 8000 600 3300] returns what?,[4500 8000 3300]|[1200 600]|[4500 8000]|[8000],[4500 8000 3300],Advanced
creating arrays and accessing elements,Empty array,multiple choice,How do you create an empty array?,const arr = {}|const arr = []|const arr = ()|const arr = empty,const arr = [],beginner
creating arrays and accessing elements,typeof array,multiple choice,What does typeof [] return in JavaScript?,array|object|undefined|list,object,Advanced
push pop shift unshift splice and slice,Multiple push,multiple choice,"What does cart.push(""Charger"", ""Cable"") do?",Adds only Charger|Adds both items to the end of the array|Replaces the array|Throws an error,Adds both items to the end of the array,intermediate
push pop shift unshift splice and slice,splice replace,multiple choice,"What does products.splice(1, 1, ""Headphones"") do?",Removes 1 item at index 1 and inserts Headphones in its place|Adds Headphones at index 1|Removes Headphones|Replaces the entire array,Removes 1 item at index 1 and inserts Headphones in its place,Advanced
push pop shift unshift splice and slice,slice no args,multiple choice,What does array.slice() with no arguments return?,undefined|An empty array|A shallow copy of the entire array|The first element,A shallow copy of the entire array,intermediate
iterating arrays for for of and forEach,forEach with index,multiple choice,How do you access both the item and its index in forEach?,"array.forEach((item) => ...)|array.forEach((item, index) => ...)|array.forEach((index) => ...)|array.forEach((item, index, length) => ...)","array.forEach((item, index) => ...)",beginner
iterating arrays for for of and forEach,map vs forEach,multiple choice,What is the key difference between map() and forEach()?,They are identical|map returns a new array while forEach returns undefined|forEach is faster|map changes the original array,map returns a new array while forEach returns undefined,intermediate
iterating arrays for for of and forEach,filter empty result,True or False,If no elements pass the filter callback condition filter() returns an empty array not undefined.,True|False,True,intermediate
iterating arrays for for of and forEach,Chaining map and filter,multiple choice,Can you chain filter() and map() together like array.filter(...).map(...)?,No they cannot be combined|Yes because both return new arrays|Only if you use forEach first|Only on arrays of numbers,Yes because both return new arrays,Advanced
creating arrays and accessing elements,Spread into new array,multiple choice,What does const copy = [...original] create?,A reference to the same array|A shallow copy of the original array|An empty array|A string version of the array,A shallow copy of the original array,Advanced
