title,description,type,question,options,answer,difficulty
variables let const and var,What is a variable,multiple choice,What is a variable in JavaScript?,A function that runs code|A named container that stores a value|A type of loop|A built-in browser feature,A named container that stores a value,beginner
variables let const and var,Declaration keywords,multiple choice,Which of the following is a valid keyword for declaring a variable in JavaScript?,define|variable|const|create,const,beginner
variables let const and var,Assignment operator,multiple choice,What does the = sign do in the statement const city = "Lagos"?,Compares city to Lagos|Assigns the value Lagos to the variable city|Checks if city equals Lagos|Creates a new data type,Assigns the value Lagos to the variable city,beginner
variables let const and var,const default,multiple choice,Which keyword should you use by default when declaring a variable?,var|let|const|function,const,beginner
variables let const and var,let usage,multiple choice,When should you use let instead of const?,When the variable name is long|When the value will change during the program|When storing text|When you need a number,When the value will change during the program,beginner
variables let const and var,var avoidance,True or False,You should use var in new JavaScript code because it is the original keyword.,True|False,False,beginner
variables let const and var,const reassignment,multiple choice,What happens when you try to reassign a const variable?,The value changes silently|Nothing happens|A TypeError is thrown|The browser refreshes,A TypeError is thrown,beginner
variables let const and var,Block scoping,multiple choice,Which keywords are block-scoped in JavaScript?,Only const|Only let|Both const and let|Only var,Both const and let,intermediate
variables let const and var,var scoping,True or False,var is block-scoped just like let and const.,True|False,False,intermediate
variables let const and var,Naming convention,multiple choice,What naming convention does JavaScript use for variable names?,snake_case|PascalCase|camelCase|UPPER_CASE,camelCase,intermediate
variables let const and var,Descriptive names,multiple choice,Which is the best variable name for storing a student's weekly score?,s|x|score|data,score,intermediate
variables let const and var,const error message,Fill in the gap,When you reassign a const variable the browser throws: ________ Assignment to constant variable.,TypeError:|SyntaxError:|ReferenceError:|RangeError:,TypeError:,intermediate
variables let const and var,Assignment vs equality,multiple choice,What is the difference between = and === in JavaScript?,They are the same thing|= assigns a value while === compares two values|= compares values while === assigns them|=== is used for numbers only,= assigns a value while === compares two values,intermediate
variables let const and var,let reassignment,multiple choice,What is the output of this code: let week = 1; week = 2; console.log(week);?,1|2|undefined|TypeError,2,intermediate
variables let const and var,const with let decision,multiple choice,A developer needs to store a counter that increases each time a user clicks a button. Which keyword should they use?,const|var|let|function,let,Advanced
