title,description,type,question,options,answer,difficulty
defining classes and constructors,What is a class,multiple choice,What is a class in JavaScript?,A type of function|A blueprint for creating multiple objects of the same shape|A CSS selector|A built-in data type,A blueprint for creating multiple objects of the same shape,beginner
defining classes and constructors,class keyword,multiple choice,Which keyword is used to define a class?,function|define|class|object,class,beginner
defining classes and constructors,new keyword,multiple choice,What does the new keyword do when used with a class?,Deletes an instance|Creates a new instance of the class by calling the constructor|Defines a method|Imports a module,Creates a new instance of the class by calling the constructor,beginner
defining classes and constructors,constructor purpose,multiple choice,What does the constructor method do?,Returns a value|Runs automatically when new is called and sets up the instance's properties|Defines a static method|Removes properties,Runs automatically when new is called and sets up the instance's properties,beginner
defining classes and constructors,this in constructor,multiple choice,What does this refer to inside the constructor?,The class itself|The new instance being created|The global window|The parent class,The new instance being created,beginner
defining classes and constructors,Instance properties,multiple choice,How do you set a property called name on the new instance inside the constructor?,name = value|this.name = value|const name = value|set.name = value,this.name = value,intermediate
defining classes and constructors,Methods shared,True or False,Methods defined in the class body are shared by all instances rather than duplicated on each one.,True|False,True,intermediate
defining classes and constructors,Instances independent,multiple choice,If you change earbuds.stock does cable.stock also change?,Yes they share the same stock|No each instance has its own property values|Only if they are the same class|It throws an error,No each instance has its own property values,intermediate
defining classes and constructors,instanceof,multiple choice,What does earbuds instanceof Product return?,The class name|true if earbuds was created from Product|The prototype|undefined,true if earbuds was created from Product,intermediate
defining classes and constructors,Object literal vs class,multiple choice,When should you use a class instead of an object literal?,When you need only one object|When you need to create many objects of the same shape|When you need a constant|When you need an array,When you need to create many objects of the same shape,intermediate
defining classes and constructors,Default property,multiple choice,"In the Course class the constructor sets this.enrolled = 0. What is this?",A static property|A default property value given to every new instance|A method|A parameter,A default property value given to every new instance,intermediate
defining classes and constructors,Demo enroll method,multiple choice,"In the demo after calling jsCourse.enroll() twice what is jsCourse.enrolled?",0|1|2|3,2,Advanced
defining classes and constructors,Independent instances demo,multiple choice,"In the demo after calling jsCourse.enroll() twice what is htmlCourse.enrolled?",2|1|0|undefined,0,Advanced
defining classes and constructors,Arrays of instances,multiple choice,Can you use filter and map on an array of class instances?,No classes cannot be in arrays|Yes higher-order functions work the same on arrays of class instances|Only with forEach|Only with reduce,Yes higher-order functions work the same on arrays of class instances,Advanced
defining classes and constructors,Demo getGrade,multiple choice,"In the demo new Student(""Chidi Nwosu"" 45 ""HTML & CSS"").getGrade() returns what?",Pass|Borderline|Fail|undefined,Fail,intermediate
defining classes and constructors,Method calling another method,multiple choice,"In the demo getSummary() calls this.getGrade() inside it. Is this valid?",No methods cannot call other methods|Yes a method can call other methods on the same instance using this|Only with super|Only in the constructor,Yes a method can call other methods on the same instance using this,Advanced
inheritance and super,extends keyword,multiple choice,What does the extends keyword do?,Creates a new instance|Makes a child class inherit all properties and methods from a parent class|Adds a method|Removes a property,Makes a child class inherit all properties and methods from a parent class,beginner
inheritance and super,super in constructor,multiple choice,What does super(name email) do inside a child class constructor?,Creates a new class|Calls the parent class constructor to set up inherited properties|Deletes the parent class|Returns a value,Calls the parent class constructor to set up inherited properties,beginner
